trip_id,route_id,vehicle_id,departure_datetime,arrival_datetime,vehicle_capacity,passengers_onboard,trip_status
TR00099,RT001,VH008,2024-01-03 17:52:00,2024-01-03 19:08:00,40,28,completed
TR00100,RT001,VH002,2024-01-03 20:06:00,2024-01-03 21:17:00,55,32,completed
TR00101,RT002,VH010,2024-01-03 06:00:00,2024-01-03 07:12:00,49,25,completed
TR00102,RT002,VH004,2024-01-03 08:48:00,2024-01-03 09:44:00,49,29,completed
TR00103,RT002,VH004,2024-01-03 11:27:00,2024-01-03 12:34:00,49,22,completed
TR00104,RT002,VH003,2024-01-03 14:00:00,2024-01-03 15:01:00,49,19,completed
TR00105,RT002,VH010,2024-01-03 16:47:00,2024-01-03 18:02:00,49,23,completed
TR00106,RT002,VH003,2024-01-03 19:14:00,2024-01-03 20:10:00,49,28,completed
TR00107,RT003,VH006,2024-01-03 06:00:00,2024-01-03 08:00:00,45,29,completed
TR00108,RT003,VH005,2024-01-03 10:06:00,2024-01-03 11:59:00,45,17,completed
TR00109,RT003,VH006,2024-01-03 14:05:00,2024-01-03 16:28:00,45,16,completed
TR00110,RT003,VH005,2024-01-03 17:56:00,2024-01-03 20:21:00,45,21,completed
TR00111,RT004,VH005,2024-01-03 06:04:00,2024-01-03 07:35:00,45,30,completed
TR00112,RT004,VH006,2024-01-03 09:05:00,2024-01-03 10:35:00,45,23,completed
TR00113,RT004,VH006,2024-01-03 12:14:00,2024-01-03 13:59:00,45,29,completed
TR00114,RT004,VH006,2024-01-03 15:42:00,2024-01-03 17:15:00,45,28,completed
TR00115,RT004,VH009,2024-01-03 18:44:00,2024-01-03 20:06:00,40,21,completed
TR00116,RT005,VH013,2024-01-03 06:03:00,2024-01-03 07:15:00,8,4,completed
TR00117,RT005,VH018,2024-01-03 11:17:00,2024-01-03 12:41:00,8,5,completed
TR00118,RT005,VH011,2024-01-03 16:50:00,2024-01-03 18:03:00,12,8,completed
TR00119,RT006,VH009,2024-01-03 05:53:00,2024-01-03 07:28:00,40,26,completed
TR00120,RT006,VH010,2024-01-03 09:52:00,2024-01-03 11:26:00,49,28,completed
TR00121,RT006,VH010,2024-01-03 14:05:00,2024-01-03 15:59:00,49,28,completed
TR00122,RT006,VH010,2024-01-03 18:02:00,2024-01-03 19:42:00,49,33,completed
TR00123,RT007,VH014,2024-01-03 05:50:00,2024-01-03 06:44:00,8,5,completed
TR00124,RT007,VH012,2024-01-03 11:23:00,2024-01-03 12:15:00,12,4,completed
TR00125,RT007,VH012,2024-01-03 16:30:00,2024-01-03 17:24:00,12,5,completed
TR00126,RT008,VH016,2024-01-03 05:57:00,2024-01-03 06:43:00,55,35,completed
TR00127,RT008,VH001,2024-01-03 08:34:00,2024-01-03 09:34:00,55,23,completed
TR00128,RT008,VH016,2024-01-03 11:21:00,2024-01-03 12:04:00,55,30,completed
TR00129,RT008,VH001,2024-01-03 13:53:00,2024-01-03 14:41:00,55,35,completed
TR00130,RT008,VH008,2024-01-03 16:48:00,2024-01-03 17:39:00,40,20,completed
TR00131,RT008,VH002,2024-01-03 19:17:00,2024-01-03 20:13:00,55,34,completed
TR00132,RT009,VH005,2024-01-03 06:01:00,2024-01-03 07:39:00,45,23,completed
TR00133,RT009,VH005,2024-01-03 11:17:00,2024-01-03 12:59:00,45,17,completed
TR00134,RT009,VH005,2024-01-03 16:40:00,2024-01-03 18:10:00,45,23,completed
TR00135,RT010,VH011,2024-01-03 05:52:00,2024-01-03 06:25:00,12,8,completed
TR00136,RT010,VH013,2024-01-03 09:55:00,2024-01-03 10:34:00,8,5,completed
TR00137,RT010,VH014,2024-01-03 13:56:00,2024-01-03 14:29:00,8,5,completed
TR00138,RT010,VH014,2024-01-03 18:08:00,2024-01-03 18:39:00,8,5,completed
TR00139,RT001,VH002,2024-01-04 06:02:00,2024-01-04 07:14:00,55,23,completed
TR00140,RT001,VH001,2024-01-04 07:56:00,2024-01-04 08:58:00,55,33,completed
TR00141,RT001,VH002,2024-01-04 09:54:00,2024-01-04 10:59:00,55,33,completed
TR00142,RT001,VH002,2024-01-04 12:02:00,2024-01-04 13:22:00,55,26,completed
TR00143,RT001,VH001,2024-01-04 14:04:00,2024-01-04 15:27:00,55,34,completed
TR00144,RT001,VH002,2024-01-04 16:07:00,2024-01-04 17:11:00,55,25,completed
TR00145,RT001,VH001,2024-01-04 18:10:00,2024-01-04 19:25:00,55,25,completed
TR00146,RT001,VH002,2024-01-04 19:53:00,2024-01-04 21:06:00,55,29,completed
TR00147,RT002,VH017,2024-01-04 06:04:00,2024-01-04 07:01:00,49,25,completed
TR00148,RT002,VH017,2024-01-04 08:48:00,2024-01-04 09:58:00,49,34,completed
TR00149,RT002,VH010,2024-01-04 11:25:00,2024-01-04 12:28:00,49,32,completed
TR00150,RT002,VH004,2024-01-04 14:06:00,2024-01-04 15:07:00,49,34,completed
TR00151,RT002,VH017,2024-01-04 16:49:00,2024-01-04 18:04:00,49,17,completed
TR00152,RT002,VH010,2024-01-04 19:24:00,2024-01-04 20:38:00,49,17,completed
TR00153,RT003,VH004,2024-01-04 05:55:00,2024-01-04 08:21:00,49,21,completed
TR00154,RT003,VH004,2024-01-04 09:57:00,2024-01-04 12:17:00,49,27,completed
TR00155,RT003,VH006,2024-01-04 14:10:00,2024-01-04 16:49:00,45,21,completed
TR00156,RT003,VH004,2024-01-04 17:52:00,2024-01-04 20:06:00,49,33,completed
TR00157,RT004,VH006,2024-01-04 06:00:00,2024-01-04 07:52:00,45,18,completed
TR00158,RT004,VH006,2024-01-04 09:17:00,2024-01-04 11:10:00,45,20,completed
TR00159,RT004,VH009,2024-01-04 12:27:00,2024-01-04 14:04:00,40,15,completed
TR00160,RT004,VH005,2024-01-04 15:46:00,2024-01-04 17:24:00,45,19,completed
TR00161,RT004,VH009,2024-01-04 18:48:00,2024-01-04 20:35:00,40,16,completed
TR00162,RT005,VH018,2024-01-04 06:07:00,2024-01-04 07:32:00,8,2,completed
TR00163,RT005,VH018,2024-01-04 11:25:00,2024-01-04 12:42:00,8,5,completed
TR00164,RT005,VH013,2024-01-04 16:35:00,2024-01-04 17:35:00,8,3,completed
TR00165,RT006,VH009,2024-01-04 06:07:00,2024-01-04 07:40:00,40,18,completed
TR00166,RT006,VH003,2024-01-04 10:00:00,2024-01-04 11:40:00,49,24,completed
TR00167,RT006,VH009,2024-01-04 14:02:00,2024-01-04 15:40:00,40,24,completed
TR00168,RT006,VH010,2024-01-04 17:51:00,2024-01-04 19:14:00,49,19,completed
TR00169,RT007,VH012,2024-01-04 05:56:00,2024-01-04 07:03:00,12,6,completed
TR00170,RT007,VH012,2024-01-04 11:30:00,2024-01-04 12:23:00,12,7,completed
TR00171,RT007,VH012,2024-01-04 16:35:00,2024-01-04 17:42:00,12,5,completed
TR00172,RT008,VH002,2024-01-04 05:53:00,2024-01-04 06:45:00,55,36,completed
TR00173,RT008,VH008,2024-01-04 08:49:00,2024-01-04 09:42:00,40,16,completed
TR00174,RT008,VH016,2024-01-04 11:16:00,2024-01-04 11:57:00,55,26,completed
TR00175,RT008,VH008,2024-01-04 13:58:00,2024-01-04 14:40:00,40,19,completed
TR00176,RT008,VH002,2024-01-04 16:43:00,2024-01-04 17:43:00,55,39,completed
TR00177,RT008,VH001,2024-01-04 19:14:00,2024-01-04 19:57:00,55,36,completed
TR00178,RT009,VH002,2024-01-04 05:57:00,2024-01-04 07:50:00,55,36,completed
TR00179,RT009,VH006,2024-01-04 11:22:00,2024-01-04 12:56:00,45,28,completed
TR00180,RT009,VH002,2024-01-04 16:34:00,2024-01-04 18:17:00,55,20,completed
TR00181,RT010,VH011,2024-01-04 05:57:00,2024-01-04 06:39:00,12,5,completed
TR00182,RT010,VH013,2024-01-04 09:53:00,2024-01-04 10:33:00,8,4,completed
TR00183,RT010,VH011,2024-01-04 14:03:00,2024-01-04 14:46:00,12,8,completed
TR00184,RT010,VH018,2024-01-04 17:51:00,2024-01-04 18:25:00,8,4,completed
TR00185,RT001,VH001,2024-01-05 05:56:00,2024-01-05 07:10:00,55,30,completed
TR00186,RT001,VH008,2024-01-05 07:52:00,2024-01-05 09:04:00,40,17,completed
TR00187,RT001,VH002,2024-01-05 10:05:00,2024-01-05 11:16:00,55,32,completed
TR00188,RT001,VH001,2024-01-05 12:01:00,2024-01-05 13:00:00,55,28,completed
TR00189,RT001,VH008,2024-01-05 14:03:00,2024-01-05 15:09:00,40,14,completed
TR00190,RT001,VH016,2024-01-05 15:55:00,2024-01-05 17:01:00,55,24,completed
TR00191,RT001,VH016,2024-01-05 17:54:00,2024-01-05 19:14:00,55,33,completed
TR00192,RT001,VH007,2024-01-05 20:07:00,2024-01-05 21:20:00,40,21,completed
TR00193,RT002,VH004,2024-01-05 05:57:00,2024-01-05 06:52:00,49,29,completed
TR00194,RT002,VH017,2024-01-05 08:41:00,2024-01-05 09:39:00,49,33,completed
TR00195,RT002,VH003,2024-01-05 11:21:00,2024-01-05 12:31:00,49,20,completed
TR00196,RT002,VH003,2024-01-05 13:58:00,2024-01-05 14:56:00,49,25,completed
TR00197,RT002,VH003,2024-01-05 16:43:00,2024-01-05 17:49:00,49,16,completed
TR00198,RT002,VH003,2024-01-05 19:11:00,2024-01-05 20:19:00,49,33,completed
TR00199,RT003,VH005,2024-01-05 06:06:00,2024-01-05 08:06:00,45,23,completed
TR00200,RT003,VH004,2024-01-05 09:55:00,2024-01-05 12:15:00,49,33,completed
TR00201,RT003,VH005,2024-01-05 13:52:00,2024-01-05 15:47:00,45,23,completed
TR00202,RT003,VH006,2024-01-05 17:51:00,2024-01-05 20:23:00,45,28,completed
TR00203,RT004,VH009,2024-01-05 06:02:00,2024-01-05 07:42:00,40,25,completed
TR00204,RT004,VH006,2024-01-05 09:18:00,2024-01-05 11:12:00,45,17,completed
TR00205,RT004,VH005,2024-01-05 12:32:00,2024-01-05 14:17:00,45,16,completed
TR00206,RT004,VH009,2024-01-05 15:28:00,2024-01-05 16:58:00,40,15,completed
TR00207,RT004,VH006,2024-01-05 18:51:00,2024-01-05 20:18:00,45,16,completed
TR00208,RT005,VH018,2024-01-05 05:53:00,2024-01-05 07:13:00,8,5,completed
TR00209,RT005,VH018,2024-01-05 11:23:00,2024-01-05 12:35:00,8,5,completed
TR00210,RT005,VH013,2024-01-05 16:31:00,2024-01-05 17:54:00,8,5,completed
TR00211,RT006,VH009,2024-01-05 05:53:00,2024-01-05 07:29:00,40,15,completed
TR00212,RT006,VH009,2024-01-05 10:02:00,2024-01-05 11:30:00,40,28,completed
TR00213,RT006,VH003,2024-01-05 14:08:00,2024-01-05 15:35:00,49,17,completed
TR00214,RT006,VH010,2024-01-05 18:06:00,2024-01-05 20:03:00,49,30,completed
TR00215,RT007,VH012,2024-01-05 06:04:00,2024-01-05 07:00:00,12,8,completed
TR00216,RT007,VH012,2024-01-05 11:29:00,2024-01-05 12:28:00,12,7,completed
TR00217,RT007,VH015,2024-01-05 16:30:00,2024-01-05 17:39:00,12,8,completed
TR00218,RT008,VH001,2024-01-05 06:01:00,2024-01-05 06:46:00,55,21,completed
TR00219,RT008,VH008,2024-01-05 08:46:00,2024-01-05 09:46:00,40,17,completed
TR00220,RT008,VH002,2024-01-05 11:24:00,2024-01-05 12:09:00,55,28,completed
TR00221,RT008,VH001,2024-01-05 14:10:00,2024-01-05 14:52:00,55,20,completed
TR00222,RT008,VH001,2024-01-05 16:49:00,2024-01-05 17:44:00,55,36,completed
TR00223,RT008,VH016,2024-01-05 19:23:00,2024-01-05 20:09:00,55,27,completed
TR00224,RT009,VH006,2024-01-05 06:05:00,2024-01-05 08:05:00,45,16,completed
TR00225,RT009,VH005,2024-01-05 11:24:00,2024-01-05 12:53:00,45,25,completed
TR00226,RT009,VH006,2024-01-05 16:49:00,2024-01-05 18:35:00,45,25,completed
TR00227,RT010,VH013,2024-01-05 06:05:00,2024-01-05 06:49:00,8,5,completed
TR00228,RT010,VH014,2024-01-05 09:51:00,2024-01-05 10:34:00,8,3,completed
TR00229,RT010,VH018,2024-01-05 14:00:00,2024-01-05 14:44:00,8,5,completed
TR00230,RT010,VH011,2024-01-05 17:59:00,2024-01-05 18:35:00,12,8,completed
TR00231,RT001,VH001,2024-01-06 05:59:00,2024-01-06 07:21:00,55,39,completed
TR00232,RT001,VH008,2024-01-06 08:01:00,2024-01-06 09:18:00,40,15,completed
TR00233,RT001,VH001,2024-01-06 10:04:00,2024-01-06 11:11:00,55,20,completed
TR00234,RT001,VH007,2024-01-06 12:04:00,2024-01-06 13:22:00,40,20,completed
TR00235,RT001,VH001,2024-01-06 13:56:00,2024-01-06 14:54:00,55,20,completed
TR00236,RT001,VH007,2024-01-06 16:01:00,2024-01-06 17:18:00,40,21,completed
TR00237,RT001,VH001,2024-01-06 18:10:00,2024-01-06 19:14:00,55,35,completed
TR00238,RT001,VH001,2024-01-06 19:52:00,2024-01-06 21:09:00,55,34,completed
TR00239,RT002,VH004,2024-01-06 05:50:00,2024-01-06 07:00:00,49,27,completed
TR00240,RT002,VH017,2024-01-06 08:38:00,2024-01-06 09:33:00,49,25,completed
TR00241,RT002,VH017,2024-01-06 11:13:00,2024-01-06 12:25:00,49,25,completed
TR00242,RT002,VH017,2024-01-06 14:01:00,2024-01-06 15:02:00,49,29,completed
TR00243,RT002,VH003,2024-01-06 16:33:00,2024-01-06 17:39:00,49,25,completed
TR00244,RT002,VH004,2024-01-06 19:13:00,2024-01-06 20:19:00,49,20,completed
TR00245,RT003,VH005,2024-01-06 05:55:00,2024-01-06 08:31:00,45,18,completed
TR00246,RT003,VH004,2024-01-06 10:01:00,2024-01-06 11:53:00,49,23,completed
TR00247,RT003,VH005,2024-01-06 13:53:00,2024-01-06 16:06:00,45,22,completed
TR00248,RT003,VH006,2024-01-06 18:01:00,2024-01-06 20:10:00,45,21,completed
TR00249,RT004,VH005,2024-01-06 05:56:00,2024-01-06 07:32:00,45,26,completed
TR00250,RT004,VH006,2024-01-06 09:06:00,2024-01-06 10:24:00,45,26,completed
TR00251,RT004,VH005,2024-01-06 12:18:00,2024-01-06 13:58:00,45,24,completed
TR00252,RT004,VH006,2024-01-06 15:37:00,2024-01-06 17:12:00,45,24,completed
TR00253,RT004,VH006,2024-01-06 18:51:00,2024-01-06 20:31:00,45,24,completed
TR00254,RT005,VH011,2024-01-06 05:58:00,2024-01-06 07:03:00,12,4,completed
TR00255,RT005,VH013,2024-01-06 11:22:00,2024-01-06 12:21:00,8,5,completed
TR00256,RT005,VH011,2024-01-06 16:42:00,2024-01-06 18:07:00,12,8,completed
TR00257,RT006,VH009,2024-01-06 06:04:00,2024-01-06 08:03:00,40,19,completed
TR00258,RT006,VH003,2024-01-06 10:09:00,2024-01-06 11:45:00,49,18,completed
TR00259,RT006,VH003,2024-01-06 13:53:00,2024-01-06 15:23:00,49,22,completed
TR00260,RT006,VH009,2024-01-06 18:07:00,2024-01-06 19:49:00,40,18,completed
TR00261,RT007,VH015,2024-01-06 06:04:00,2024-01-06 07:02:00,12,8,completed
TR00262,RT007,VH015,2024-01-06 11:23:00,2024-01-06 12:32:00,12,5,completed
TR00263,RT007,VH012,2024-01-06 16:41:00,2024-01-06 17:50:00,12,7,completed
TR00264,RT008,VH016,2024-01-06 06:03:00,2024-01-06 06:48:00,55,22,completed
TR00265,RT008,VH016,2024-01-06 08:37:00,2024-01-06 09:35:00,55,35,completed
TR00266,RT008,VH002,2024-01-06 11:14:00,2024-01-06 12:10:00,55,34,completed
TR00267,RT008,VH016,2024-01-06 14:10:00,2024-01-06 14:56:00,55,21,completed
TR00268,RT008,VH001,2024-01-06 16:30:00,2024-01-06 17:20:00,55,26,completed
TR00269,RT008,VH016,2024-01-06 19:17:00,2024-01-06 20:06:00,55,19,completed
TR00270,RT009,VH002,2024-01-06 06:05:00,2024-01-06 07:55:00,55,28,completed
TR00271,RT009,VH005,2024-01-06 11:10:00,2024-01-06 12:43:00,45,32,completed
TR00272,RT009,VH002,2024-01-06 16:30:00,2024-01-06 18:18:00,55,22,completed
TR00273,RT010,VH018,2024-01-06 05:51:00,2024-01-06 06:30:00,8,5,completed
TR00274,RT010,VH018,2024-01-06 09:55:00,2024-01-06 10:28:00,8,4,completed
TR00275,RT010,VH011,2024-01-06 13:55:00,2024-01-06 14:38:00,12,4,completed
TR00276,RT010,VH018,2024-01-06 17:53:00,2024-01-06 18:24:00,8,4,completed
TR00277,RT001,VH008,2024-01-07 06:04:00,2024-01-07 07:24:00,40,15,completed
TR00278,RT001,VH008,2024-01-07 08:01:00,2024-01-07 09:06:00,40,28,completed
TR00279,RT001,VH002,2024-01-07 10:09:00,2024-01-07 11:33:00,55,29,completed
TR00280,RT001,VH016,2024-01-07 12:09:00,2024-01-07 13:23:00,55,32,completed
TR00281,RT001,VH007,2024-01-07 14:00:00,2024-01-07 15:16:00,40,23,completed
TR00282,RT001,VH001,2024-01-07 15:56:00,2024-01-07 16:57:00,55,20,completed
TR00283,RT001,VH008,2024-01-07 18:03:00,2024-01-07 19:04:00,40,25,completed
TR00284,RT001,VH001,2024-01-07 19:59:00,2024-01-07 21:15:00,55,20,completed
TR00285,RT002,VH010,2024-01-07 05:52:00,2024-01-07 06:53:00,49,29,completed
TR00286,RT002,VH003,2024-01-07 08:39:00,2024-01-07 09:50:00,49,18,completed
TR00287,RT002,VH003,2024-01-07 11:13:00,2024-01-07 12:26:00,49,22,completed
TR00288,RT002,VH017,2024-01-07 13:52:00,2024-01-07 14:50:00,49,28,completed
TR00289,RT002,VH010,2024-01-07 16:36:00,2024-01-07 17:44:00,49,31,completed
TR00290,RT002,VH010,2024-01-07 19:17:00,2024-01-07 20:37:00,49,17,completed
TR00291,RT003,VH004,2024-01-07 05:59:00,2024-01-07 08:03:00,49,33,completed
TR00292,RT003,VH004,2024-01-07 10:02:00,2024-01-07 12:23:00,49,21,completed
TR00293,RT003,VH005,2024-01-07 14:07:00,2024-01-07 15:58:00,45,27,completed
TR00294,RT003,VH004,2024-01-07 18:10:00,2024-01-07 20:15:00,49,18,completed
TR00295,RT004,VH006,2024-01-07 05:52:00,2024-01-07 07:28:00,45,28,completed
TR00296,RT004,VH009,2024-01-07 09:06:00,2024-01-07 10:47:00,40,28,completed
TR00297,RT004,VH005,2024-01-07 12:15:00,2024-01-07 13:50:00,45,25,completed
TR00298,RT004,VH005,2024-01-07 15:32:00,2024-01-07 17:11:00,45,22,completed
TR00299,RT004,VH006,2024-01-07 18:57:00,2024-01-07 20:43:00,45,18,completed
TR00300,RT005,VH011,2024-01-07 06:10:00,2024-01-07 07:25:00,12,7,completed
TR00301,RT005,VH018,2024-01-07 11:27:00,2024-01-07 12:39:00,8,4,completed
TR00302,RT005,VH013,2024-01-07 16:43:00,2024-01-07 17:58:00,8,4,completed
