booking_id,trip_id,route_id,booking_datetime,passengers,fare_per_passenger,total_fare,payment_method,booking_status,channel
BK000090,TR00012,RT009,2024-12-14 08:45:00,1,12.03,12.03,bancontact,completed,website
BK000091,TR00012,RT009,2024-12-20 08:45:00,3,15.09,45.27,bancontact,completed,website
BK000092,TR00012,RT009,2024-12-22 08:45:00,1,16.57,16.57,ideal,completed,mobile_app
BK000093,TR00012,RT009,2024-12-06 08:45:00,1,12.49,12.49,debit_card,completed,website
BK000094,TR00012,RT009,2024-12-21 08:45:00,2,14.48,28.96,ideal,completed,website
BK000095,TR00012,RT009,2024-12-28 08:45:00,1,16.41,16.41,debit_card,completed,mobile_app
BK000096,TR00012,RT009,2024-12-31 08:45:00,2,11.66,23.32,debit_card,completed,mobile_app
BK000097,TR00012,RT009,2024-12-27 08:45:00,1,13.94,13.94,credit_card,completed,mobile_app
BK000098,TR00013,RT010,2024-12-20 06:30:00,2,18.97,37.94,credit_card,no_show,website
BK000099,TR00013,RT010,2024-12-11 06:30:00,2,25.43,50.86,ideal,no_show,mobile_app
BK000100,TR00014,RT010,2024-12-30 14:45:00,4,21.83,87.32,ideal,completed,partner_api
BK000101,TR00014,RT010,2024-12-23 14:45:00,1,19.98,19.98,debit_card,completed,website
BK000102,TR00014,RT010,2024-12-13 14:45:00,2,21.75,43.5,ideal,completed,mobile_app
BK000103,TR00015,RT001,2024-12-29 06:30:00,3,12.17,36.51,paypal,completed,partner_api
BK000104,TR00015,RT001,2024-12-14 06:30:00,5,15.16,75.8,ideal,completed,website
BK000105,TR00015,RT001,2024-12-08 06:30:00,2,14.17,28.34,bancontact,completed,partner_api
BK000106,TR00015,RT001,2024-12-09 06:30:00,2,12.35,24.7,ideal,no_show,partner_api
BK000107,TR00015,RT001,2024-12-04 06:30:00,1,11.98,11.98,debit_card,completed,website
BK000108,TR00015,RT001,2024-12-17 06:30:00,4,14.05,56.2,bancontact,completed,mobile_app
BK000109,TR00015,RT001,2024-12-21 06:30:00,2,15.36,30.72,credit_card,completed,website
BK000110,TR00015,RT001,2024-12-10 06:30:00,5,15.57,77.85,ideal,completed,partner_api
BK000111,TR00015,RT001,2024-12-05 06:30:00,1,11.63,11.63,credit_card,completed,partner_api
BK000112,TR00015,RT001,2024-12-21 06:30:00,1,10.34,10.34,debit_card,completed,website
BK000113,TR00015,RT001,2024-12-10 06:30:00,1,14.61,14.61,ideal,completed,website
BK000114,TR00015,RT001,2024-12-14 06:30:00,3,10.92,32.76,ideal,cancelled,mobile_app
BK000115,TR00016,RT001,2024-12-15 14:45:00,1,11.2,11.2,paypal,no_show,website
BK000116,TR00016,RT001,2024-12-03 14:45:00,3,14.6,43.8,ideal,completed,mobile_app
BK000117,TR00016,RT001,2024-12-27 14:45:00,3,13.41,40.23,ideal,completed,mobile_app
BK000118,TR00016,RT001,2024-12-10 14:45:00,4,13.56,54.24,bancontact,completed,mobile_app
BK000119,TR00016,RT001,2024-12-25 14:45:00,3,10.45,31.35,credit_card,completed,partner_api
BK000120,TR00016,RT001,2025-01-01 14:45:00,1,13.92,13.92,bancontact,completed,website
BK000121,TR00016,RT001,2024-12-16 14:45:00,1,14.51,14.51,debit_card,completed,website
BK000122,TR00016,RT001,2024-12-30 14:45:00,5,12.87,64.35,bancontact,completed,website
BK000123,TR00016,RT001,2024-12-11 14:45:00,3,10.25,30.75,paypal,completed,website
BK000124,TR00017,RT002,2024-12-22 08:45:00,2,14.55,29.1,ideal,completed,website
BK000125,TR00017,RT002,2024-12-19 08:45:00,4,15.73,62.92,bancontact,completed,partner_api
BK000126,TR00017,RT002,2024-12-25 08:45:00,1,16.46,16.46,credit_card,completed,partner_api
BK000127,TR00017,RT002,2024-12-25 08:45:00,4,18.06,72.24,debit_card,completed,website
BK000128,TR00017,RT002,2024-12-12 08:45:00,3,15.66,46.98,debit_card,completed,website
BK000129,TR00017,RT002,2024-12-26 08:45:00,2,15.89,31.78,credit_card,completed,mobile_app
BK000130,TR00017,RT002,2024-12-31 08:45:00,4,16.16,64.64,ideal,no_show,mobile_app
BK000131,TR00018,RT003,2024-12-07 08:00:00,3,14.67,44.01,debit_card,completed,partner_api
BK000132,TR00018,RT003,2024-12-07 08:00:00,2,16.27,32.54,bancontact,completed,mobile_app
BK000133,TR00018,RT003,2024-12-23 08:00:00,1,18.3,18.3,paypal,completed,website
BK000134,TR00018,RT003,2024-12-17 08:00:00,3,14.74,44.22,paypal,completed,partner_api
BK000135,TR00018,RT003,2024-12-24 08:00:00,1,21.32,21.32,ideal,completed,mobile_app
BK000136,TR00018,RT003,2024-12-27 08:00:00,3,17.26,51.78,ideal,completed,website
BK000137,TR00018,RT003,2024-12-06 08:00:00,2,21.53,43.06,debit_card,no_show,website
BK000138,TR00018,RT003,2024-12-20 08:00:00,4,16.33,65.32,bancontact,completed,partner_api
BK000139,TR00018,RT003,2024-12-07 08:00:00,5,19.3,96.5,ideal,completed,mobile_app
BK000140,TR00019,RT004,2024-12-23 08:45:00,5,18.73,93.65,paypal,completed,mobile_app
BK000141,TR00019,RT004,2024-12-26 08:45:00,2,18.13,36.26,debit_card,completed,partner_api
BK000142,TR00019,RT004,2024-12-17 08:45:00,3,17.6,52.8,bancontact,completed,partner_api
BK000143,TR00019,RT004,2024-12-07 08:45:00,1,20.65,20.65,bancontact,completed,partner_api
BK000144,TR00019,RT004,2024-12-09 08:45:00,2,13.76,27.52,paypal,completed,mobile_app
BK000145,TR00019,RT004,2024-12-10 08:45:00,1,15.53,15.53,debit_card,completed,website
BK000146,TR00019,RT004,2024-12-19 08:45:00,4,19.06,76.24,debit_card,completed,website
BK000147,TR00019,RT004,2024-12-24 08:45:00,3,20.49,61.47,credit_card,completed,website
BK000148,TR00019,RT004,2024-12-14 08:45:00,1,18.66,18.66,bancontact,completed,partner_api
BK000149,TR00019,RT004,2024-12-29 08:45:00,1,19.72,19.72,paypal,completed,partner_api
BK000150,TR00019,RT004,2025-01-01 08:45:00,5,15.15,75.75,credit_card,completed,website
BK000151,TR00019,RT004,2024-12-10 08:45:00,1,16.64,16.64,debit_card,cancelled,website
BK000152,TR00020,RT005,2024-12-16 08:00:00,4,35.31,141.24,paypal,completed,mobile_app
BK000153,TR00021,RT006,2024-12-03 08:30:00,2,12.22,24.44,paypal,completed,mobile_app
BK000154,TR00021,RT006,2024-12-10 08:30:00,3,11.86,35.58,bancontact,completed,partner_api
BK000155,TR00021,RT006,2024-12-28 08:30:00,2,12.59,25.18,bancontact,completed,partner_api
BK000156,TR00021,RT006,2024-12-22 08:30:00,2,10.67,21.34,paypal,completed,website
BK000157,TR00021,RT006,2024-12-10 08:30:00,2,8.72,17.44,debit_card,completed,partner_api
BK000158,TR00021,RT006,2024-12-21 08:30:00,3,11.09,33.27,ideal,completed,partner_api
BK000159,TR00021,RT006,2024-12-05 08:30:00,5,11.2,56.0,ideal,cancelled,website
BK000160,TR00021,RT006,2024-12-19 08:30:00,3,9.96,29.88,bancontact,completed,mobile_app
BK000161,TR00021,RT006,2024-12-26 08:30:00,2,12.09,24.18,bancontact,completed,website
BK000162,TR00021,RT006,2024-12-05 08:30:00,2,12.35,24.7,debit_card,completed,website
BK000163,TR00022,RT007,2024-12-06 08:30:00,2,22.59,45.18,bancontact,completed,website
BK000164,TR00022,RT007,2024-12-28 08:30:00,2,25.57,51.14,ideal,completed,mobile_app
BK000165,TR00022,RT007,2024-12-18 08:30:00,2,24.83,49.66,ideal,completed,mobile_app
BK000166,TR00022,RT007,2024-12-16 08:30:00,1,28.74,28.74,paypal,no_show,mobile_app
BK000167,TR00023,RT008,2024-12-17 08:30:00,3,11.12,33.36,debit_card,completed,mobile_app
BK000168,TR00023,RT008,2025-01-01 08:30:00,2,10.71,21.42,bancontact,completed,mobile_app
BK000169,TR00023,RT008,2024-12-19 08:30:00,2,13.25,26.5,debit_card,completed,mobile_app
BK000170,TR00023,RT008,2024-12-19 08:30:00,3,11.12,33.36,paypal,completed,mobile_app
BK000171,TR00023,RT008,2024-12-24 08:30:00,1,10.22,10.22,paypal,completed,website
BK000172,TR00023,RT008,2024-12-17 08:30:00,3,12.26,36.78,credit_card,no_show,website
BK000173,TR00023,RT008,2024-12-26 08:30:00,4,13.47,53.88,bancontact,completed,mobile_app
BK000174,TR00023,RT008,2024-12-06 08:30:00,1,13.19,13.19,ideal,completed,website
BK000175,TR00023,RT008,2024-12-25 08:30:00,3,11.59,34.77,credit_card,completed,partner_api
BK000176,TR00023,RT008,2024-12-28 08:30:00,1,13.99,13.99,bancontact,completed,partner_api
BK000177,TR00023,RT008,2024-12-07 08:30:00,2,10.21,20.42,credit_card,completed,partner_api
BK000178,TR00023,RT008,2025-01-01 08:30:00,3,12.0,36.0,paypal,cancelled,partner_api
BK000179,TR00023,RT008,2024-12-14 08:30:00,1,10.68,10.68,ideal,completed,partner_api
BK000180,TR00023,RT008,2024-12-13 08:30:00,1,12.36,12.36,bancontact,completed,mobile_app
BK000181,TR00023,RT008,2024-12-28 08:30:00,1,10.7,10.7,credit_card,completed,website
BK000182,TR00023,RT008,2024-12-16 08:30:00,2,12.37,24.74,paypal,completed,website
BK000183,TR00023,RT008,2024-12-08 08:30:00,1,11.1,11.1,ideal,completed,mobile_app
BK000184,TR00024,RT009,2025-01-01 08:00:00,5,17.39,86.95,ideal,completed,partner_api
BK000185,TR00024,RT009,2024-12-24 08:00:00,3,12.83,38.49,paypal,completed,partner_api
BK000186,TR00024,RT009,2024-12-31 08:00:00,4,16.1,64.4,ideal,completed,website
BK000187,TR00024,RT009,2024-12-24 08:00:00,1,15.22,15.22,credit_card,completed,website
BK000188,TR00024,RT009,2024-12-16 08:00:00,5,13.62,68.1,debit_card,completed,mobile_app
BK000189,TR00024,RT009,2024-12-05 08:00:00,2,15.18,30.36,debit_card,completed,mobile_app
BK000190,TR00024,RT009,2024-12-14 08:00:00,1,12.86,12.86,ideal,completed,mobile_app
BK000191,TR00024,RT009,2024-12-21 08:00:00,1,14.13,14.13,credit_card,completed,partner_api
BK000192,TR00024,RT009,2024-12-19 08:00:00,2,14.59,29.18,bancontact,completed,partner_api
BK000193,TR00024,RT009,2024-12-16 08:00:00,1,11.5,11.5,debit_card,completed,partner_api
BK000194,TR00025,RT010,2024-12-05 08:30:00,2,25.05,50.1,bancontact,completed,mobile_app
BK000195,TR00025,RT010,2024-12-25 08:30:00,1,22.86,22.86,debit_card,completed,website
BK000196,TR00025,RT010,2024-12-09 08:30:00,1,22.95,22.95,bancontact,completed,mobile_app
BK000197,TR00026,RT001,2024-12-28 06:45:00,2,13.04,26.08,ideal,refunded,mobile_app
BK000198,TR00026,RT001,2024-12-17 06:45:00,2,13.82,27.64,debit_card,refunded,website
BK000199,TR00026,RT001,2024-12-27 06:45:00,2,13.86,27.72,credit_card,refunded,mobile_app
BK000200,TR00027,RT001,2024-12-27 14:15:00,2,14.75,29.5,credit_card,completed,mobile_app
BK000201,TR00027,RT001,2024-12-04 14:15:00,1,14.58,14.58,credit_card,completed,mobile_app
BK000202,TR00027,RT001,2024-12-09 14:15:00,2,11.01,22.02,ideal,completed,mobile_app
BK000203,TR00027,RT001,2024-12-20 14:15:00,4,13.24,52.96,bancontact,completed,website
BK000204,TR00027,RT001,2024-12-26 14:15:00,5,15.21,76.05,debit_card,completed,website
BK000205,TR00027,RT001,2024-12-14 14:15:00,3,10.84,32.52,bancontact,completed,website
BK000206,TR00027,RT001,2024-12-26 14:15:00,5,14.97,74.85,bancontact,completed,website
BK000207,TR00027,RT001,2024-12-09 14:15:00,1,14.59,14.59,paypal,cancelled,mobile_app
BK000208,TR00028,RT002,2024-12-13 08:45:00,4,17.56,70.24,credit_card,completed,partner_api
BK000209,TR00028,RT002,2024-12-19 08:45:00,4,14.63,58.52,bancontact,cancelled,mobile_app
BK000210,TR00028,RT002,2024-12-08 08:45:00,3,13.22,39.66,ideal,completed,mobile_app
BK000211,TR00028,RT002,2024-12-31 08:45:00,2,16.74,33.48,bancontact,cancelled,partner_api
BK000212,TR00028,RT002,2024-12-19 08:45:00,3,13.01,39.03,ideal,completed,partner_api
BK000213,TR00028,RT002,2024-12-23 08:45:00,1,16.68,16.68,credit_card,completed,partner_api
BK000214,TR00028,RT002,2024-12-14 08:45:00,2,15.23,30.46,ideal,completed,website
BK000215,TR00028,RT002,2024-12-17 08:45:00,2,16.45,32.9,bancontact,completed,mobile_app
BK000216,TR00028,RT002,2024-12-06 08:45:00,2,16.28,32.56,credit_card,completed,partner_api
BK000217,TR00028,RT002,2024-12-26 08:45:00,1,13.28,13.28,credit_card,completed,website
BK000218,TR00029,RT003,2024-12-13 06:30:00,1,20.07,20.07,paypal,refunded,partner_api
BK000219,TR00030,RT003,2024-12-16 14:45:00,1,21.17,21.17,bancontact,completed,partner_api
BK000220,TR00030,RT003,2024-12-21 14:45:00,3,18.45,55.35,credit_card,completed,partner_api
BK000221,TR00030,RT003,2025-01-02 14:45:00,3,20.69,62.07,ideal,completed,website
BK000222,TR00030,RT003,2024-12-09 14:45:00,4,17.42,69.68,bancontact,completed,website
BK000223,TR00030,RT003,2024-12-15 14:45:00,4,14.81,59.24,ideal,completed,website
BK000224,TR00030,RT003,2024-12-16 14:45:00,2,15.55,31.1,debit_card,completed,website
BK000225,TR00030,RT003,2024-12-12 14:45:00,1,19.85,19.85,ideal,no_show,partner_api
BK000226,TR00030,RT003,2024-12-04 14:45:00,2,21.35,42.7,paypal,completed,website
BK000227,TR00030,RT003,2024-12-17 14:45:00,2,16.96,33.92,bancontact,completed,partner_api
BK000228,TR00030,RT003,2024-12-27 14:45:00,3,22.07,66.21,ideal,completed,website
BK000229,TR00031,RT004,2024-12-10 08:15:00,4,16.68,66.72,debit_card,completed,partner_api
BK000230,TR00031,RT004,2024-12-23 08:15:00,4,15.07,60.28,credit_card,completed,partner_api
BK000231,TR00031,RT004,2024-12-12 08:15:00,4,15.79,63.16,paypal,completed,website
BK000232,TR00031,RT004,2024-12-14 08:15:00,3,17.27,51.81,debit_card,completed,partner_api
BK000233,TR00031,RT004,2024-12-25 08:15:00,1,19.4,19.4,paypal,completed,partner_api
BK000234,TR00031,RT004,2024-12-31 08:15:00,2,14.26,28.52,paypal,completed,mobile_app
BK000235,TR00031,RT004,2024-12-11 08:15:00,5,18.18,90.9,debit_card,completed,website
BK000236,TR00031,RT004,2024-12-06 08:15:00,5,19.19,95.95,ideal,completed,partner_api
BK000237,TR00032,RT005,2024-12-13 08:00:00,2,26.14,52.28,bancontact,completed,partner_api
BK000238,TR00033,RT006,2024-12-13 08:45:00,1,8.67,8.67,ideal,completed,partner_api
BK000239,TR00033,RT006,2024-12-05 08:45:00,2,8.74,17.48,paypal,completed,partner_api
BK000240,TR00033,RT006,2024-12-24 08:45:00,1,10.42,10.42,ideal,completed,partner_api
BK000241,TR00033,RT006,2024-12-09 08:45:00,4,8.61,34.44,ideal,cancelled,partner_api
BK000242,TR00033,RT006,2024-12-07 08:45:00,4,12.79,51.16,ideal,completed,website
BK000243,TR00033,RT006,2024-12-18 08:45:00,5,11.26,56.3,ideal,completed,partner_api
BK000244,TR00033,RT006,2024-12-22 08:45:00,3,12.41,37.23,ideal,completed,mobile_app
BK000245,TR00034,RT007,2024-12-14 06:15:00,2,31.57,63.14,debit_card,completed,partner_api
BK000246,TR00034,RT007,2024-12-21 06:15:00,2,22.43,44.86,debit_card,cancelled,partner_api
BK000247,TR00034,RT007,2024-12-31 06:15:00,1,27.61,27.61,paypal,completed,partner_api
BK000248,TR00034,RT007,2024-12-07 06:15:00,1,28.48,28.48,debit_card,completed,mobile_app
BK000249,TR00035,RT007,2024-12-10 14:45:00,1,30.86,30.86,bancontact,completed,mobile_app
BK000250,TR00035,RT007,2024-12-26 14:45:00,3,24.11,72.33,ideal,completed,website
BK000251,TR00036,RT008,2024-12-24 08:00:00,5,13.86,69.3,ideal,completed,mobile_app
BK000252,TR00036,RT008,2024-12-10 08:00:00,3,11.27,33.81,bancontact,completed,mobile_app
BK000253,TR00036,RT008,2024-12-04 08:00:00,2,12.57,25.14,paypal,completed,partner_api
BK000254,TR00036,RT008,2024-12-30 08:00:00,5,13.95,69.75,ideal,completed,website
BK000255,TR00036,RT008,2024-12-05 08:00:00,2,14.04,28.08,bancontact,completed,partner_api
BK000256,TR00037,RT009,2024-12-31 08:15:00,1,14.9,14.9,paypal,completed,website
BK000257,TR00037,RT009,2024-12-07 08:15:00,1,16.11,16.11,ideal,completed,mobile_app
BK000258,TR00037,RT009,2024-12-15 08:15:00,3,11.83,35.49,bancontact,completed,website
BK000259,TR00037,RT009,2024-12-24 08:15:00,3,16.4,49.2,debit_card,completed,partner_api
BK000260,TR00037,RT009,2024-12-16 08:15:00,4,16.7,66.8,debit_card,completed,website
BK000261,TR00037,RT009,2024-12-29 08:15:00,3,11.65,34.95,paypal,completed,partner_api
BK000262,TR00037,RT009,2024-12-15 08:15:00,1,15.89,15.89,debit_card,completed,website
BK000263,TR00037,RT009,2024-12-21 08:15:00,2,12.62,25.24,credit_card,completed,partner_api
BK000264,TR00037,RT009,2024-12-20 08:15:00,3,17.49,52.47,credit_card,completed,website
BK000265,TR00037,RT009,2024-12-21 08:15:00,1,13.38,13.38,paypal,completed,website
BK000266,TR00038,RT010,2024-12-29 08:00:00,3,27.83,83.49,debit_card,completed,website
BK000267,TR00039,RT001,2024-12-26 06:00:00,3,15.49,46.47,bancontact,completed,website
BK000268,TR00039,RT001,2024-12-11 06:00:00,1,15.54,15.54,ideal,completed,partner_api
BK000269,TR00039,RT001,2024-12-23 06:00:00,1,12.47,12.47,credit_card,completed,website
BK000270,TR00039,RT001,2025-01-01 06:00:00,2,12.64,25.28,paypal,completed,mobile_app
BK000271,TR00039,RT001,2024-12-25 06:00:00,4,10.85,43.4,debit_card,completed,website
BK000272,TR00039,RT001,2025-01-01 06:00:00,1,14.84,14.84,ideal,completed,mobile_app
BK000273,TR00039,RT001,2024-12-07 06:00:00,2,11.86,23.72,credit_card,completed,website
BK000274,TR00039,RT001,2024-12-10 06:00:00,2,11.53,23.06,debit_card,completed,website
BK000275,TR00039,RT001,2024-12-23 06:00:00,2,14.42,28.84,ideal,completed,partner_api
BK000276,TR00039,RT001,2024-12-10 06:00:00,1,12.12,12.12,debit_card,completed,mobile_app
BK000277,TR00040,RT001,2024-12-06 14:45:00,3,12.23,36.69,credit_card,completed,mobile_app
BK000278,TR00040,RT001,2024-12-05 14:45:00,3,10.34,31.02,bancontact,completed,mobile_app
BK000279,TR00040,RT001,2024-12-09 14:45:00,1,11.17,11.17,credit_card,completed,partner_api
BK000280,TR00040,RT001,2024-12-05 14:45:00,3,11.32,33.96,paypal,completed,mobile_app
BK000281,TR00040,RT001,2024-12-17 14:45:00,5,11.58,57.9,debit_card,completed,website
BK000282,TR00040,RT001,2024-12-16 14:45:00,2,13.09,26.18,ideal,completed,website
BK000283,TR00040,RT001,2024-12-05 14:45:00,2,10.56,21.12,ideal,completed,partner_api
