scheduled_trip_id,trip_id,route_id,vehicle_id,scheduled_departure_at,scheduled_arrival_at,service_type,schedule_version
ST00031,TR00031,RT004,VH001,2025-01-03 09:15:00,2025-01-03 10:56:00,regular,2025-Q2
ST00032,TR00032,RT005,VH018,2025-01-03 06:00:00,2025-01-03 07:15:00,peak_hour,2024-Q4
ST00033,TR00033,RT006,VH004,2025-01-03 10:00:00,2025-01-03 11:45:00,regular,2024-Q4
ST00034,TR00034,RT007,VH015,2025-01-03 06:00:00,2025-01-03 07:02:00,express,2025-Q2
ST00035,TR00035,RT007,VH012,2025-01-03 16:45:00,2025-01-03 17:47:00,peak_hour,2025-Q2
ST00036,TR00036,RT008,VH017,2025-01-03 08:45:00,2025-01-03 09:38:00,regular,2025-Q2
ST00037,TR00037,RT009,VH002,2025-01-03 08:15:00,2025-01-03 10:08:00,regular,2025-Q2
ST00038,TR00038,RT010,VH013,2025-01-03 06:00:00,2025-01-03 06:39:00,regular,2025-Q1
ST00039,TR00039,RT001,VH002,2025-01-04 06:00:00,2025-01-04 07:14:00,regular,2025-Q2
ST00040,TR00040,RT001,VH004,2025-01-04 14:00:00,2025-01-04 15:14:00,express,2024-Q4
ST00041,TR00041,RT002,VH001,2025-01-04 08:45:00,2025-01-04 09:56:00,express,2024-Q4
ST00042,TR00042,RT003,VH008,2025-01-04 06:00:00,2025-01-04 08:23:00,regular,2024-Q4
ST00043,TR00043,RT003,VH004,2025-01-04 14:00:00,2025-01-04 16:23:00,peak_hour,2025-Q1
ST00044,TR00044,RT004,VH009,2025-01-04 09:15:00,2025-01-04 10:56:00,regular,2024-Q4
ST00045,TR00045,RT005,VH012,2025-01-04 06:00:00,2025-01-04 07:15:00,peak_hour,2025-Q2
ST00046,TR00046,RT006,VH010,2025-01-04 06:00:00,2025-01-04 07:45:00,peak_hour,2025-Q1
ST00047,TR00047,RT006,VH010,2025-01-04 14:00:00,2025-01-04 15:45:00,regular,2025-Q1
ST00048,TR00048,RT007,VH012,2025-01-04 08:15:00,2025-01-04 09:17:00,regular,2025-Q2
ST00049,TR00049,RT008,VH002,2025-01-04 06:00:00,2025-01-04 06:53:00,regular,2025-Q1
ST00050,TR00050,RT008,VH009,2025-01-04 14:00:00,2025-01-04 14:53:00,regular,2025-Q2
ST00051,TR00051,RT009,VH003,2025-01-04 08:30:00,2025-01-04 10:23:00,regular,2025-Q1
ST00052,TR00052,RT010,VH013,2025-01-04 06:00:00,2025-01-04 06:39:00,express,2025-Q1
ST00053,TR00053,RT010,VH011,2025-01-04 14:00:00,2025-01-04 14:39:00,peak_hour,2025-Q1
ST00054,TR00054,RT001,VH006,2025-01-05 08:00:00,2025-01-05 09:14:00,regular,2024-Q4
ST00055,TR00055,RT002,VH001,2025-01-05 06:00:00,2025-01-05 07:11:00,regular,2024-Q4
ST00056,TR00056,RT002,VH006,2025-01-05 14:00:00,2025-01-05 15:11:00,express,2024-Q4
ST00057,TR00057,RT003,VH007,2025-01-05 06:00:00,2025-01-05 08:23:00,regular,2024-Q4
ST00058,TR00058,RT004,VH003,2025-01-05 09:15:00,2025-01-05 10:56:00,express,2025-Q1
ST00059,TR00059,RT005,VH011,2025-01-05 06:00:00,2025-01-05 07:15:00,regular,2025-Q1
ST00060,TR00060,RT006,VH002,2025-01-05 10:00:00,2025-01-05 11:45:00,regular,2025-Q1
ST00061,TR00061,RT007,VH012,2025-01-05 08:15:00,2025-01-05 09:17:00,regular,2025-Q2
ST00062,TR00062,RT008,VH006,2025-01-05 06:00:00,2025-01-05 06:53:00,peak_hour,2024-Q4
ST00063,TR00063,RT008,VH017,2025-01-05 14:00:00,2025-01-05 14:53:00,express,2024-Q4
ST00064,TR00064,RT009,VH008,2025-01-05 06:00:00,2025-01-05 07:53:00,express,2025-Q2
ST00065,TR00065,RT009,VH004,2025-01-05 14:30:00,2025-01-05 16:23:00,express,2025-Q2
ST00066,TR00066,RT010,VH018,2025-01-05 10:00:00,2025-01-05 10:39:00,regular,2025-Q1
ST00067,TR00067,RT001,VH003,2025-01-06 06:00:00,2025-01-06 07:14:00,regular,2025-Q1
ST00068,TR00068,RT001,VH007,2025-01-06 14:00:00,2025-01-06 15:14:00,regular,2025-Q2
ST00069,TR00069,RT002,VH007,2025-01-06 08:45:00,2025-01-06 09:56:00,peak_hour,2025-Q1
ST00070,TR00070,RT003,VH009,2025-01-06 10:00:00,2025-01-06 12:23:00,peak_hour,2024-Q4
ST00071,TR00071,RT004,VH006,2025-01-06 06:00:00,2025-01-06 07:41:00,regular,2024-Q4
ST00072,TR00072,RT004,VH016,2025-01-06 15:30:00,2025-01-06 17:11:00,peak_hour,2025-Q1
ST00073,TR00073,RT005,VH018,2025-01-06 08:15:00,2025-01-06 09:30:00,peak_hour,2025-Q2
ST00074,TR00074,RT006,VH001,2025-01-06 10:00:00,2025-01-06 11:45:00,express,2024-Q4
ST00075,TR00075,RT007,VH013,2025-01-06 08:45:00,2025-01-06 09:47:00,regular,2024-Q4
ST00076,TR00076,RT008,VH017,2025-01-06 06:00:00,2025-01-06 06:53:00,regular,2025-Q2
ST00077,TR00077,RT008,VH016,2025-01-06 14:00:00,2025-01-06 14:53:00,peak_hour,2025-Q2
ST00078,TR00078,RT009,VH004,2025-01-06 06:00:00,2025-01-06 07:53:00,regular,2024-Q4
ST00079,TR00079,RT010,VH011,2025-01-06 10:00:00,2025-01-06 10:39:00,regular,2025-Q1
ST00080,TR00080,RT001,VH016,2025-01-07 08:00:00,2025-01-07 09:14:00,peak_hour,2025-Q1
ST00081,TR00081,RT002,VH017,2025-01-07 06:00:00,2025-01-07 07:11:00,regular,2024-Q4
ST00082,TR00082,RT002,VH002,2025-01-07 14:00:00,2025-01-07 15:11:00,peak_hour,2024-Q4
ST00083,TR00083,RT003,VH008,2025-01-07 10:00:00,2025-01-07 12:23:00,regular,2025-Q1
ST00084,TR00084,RT004,VH008,2025-01-07 09:15:00,2025-01-07 10:56:00,peak_hour,2025-Q2
ST00085,TR00085,RT005,VH018,2025-01-07 08:45:00,2025-01-07 10:00:00,express,2024-Q4
ST00086,TR00086,RT006,VH006,2025-01-07 06:00:00,2025-01-07 07:45:00,express,2025-Q2
ST00087,TR00087,RT007,VH012,2025-01-07 06:00:00,2025-01-07 07:02:00,regular,2025-Q2
ST00088,TR00088,RT008,VH007,2025-01-07 08:45:00,2025-01-07 09:38:00,peak_hour,2025-Q1
ST00089,TR00089,RT009,VH017,2025-01-07 08:45:00,2025-01-07 10:38:00,peak_hour,2025-Q2
ST00090,TR00090,RT010,VH014,2025-01-07 10:00:00,2025-01-07 10:39:00,express,2025-Q2
ST00091,TR00091,RT001,VH010,2025-01-08 08:00:00,2025-01-08 09:14:00,regular,2025-Q1
ST00092,TR00092,RT002,VH007,2025-01-08 08:45:00,2025-01-08 09:56:00,regular,2025-Q2
ST00093,TR00093,RT003,VH010,2025-01-08 06:00:00,2025-01-08 08:23:00,express,2025-Q1
ST00094,TR00094,RT003,VH001,2025-01-08 14:00:00,2025-01-08 16:23:00,peak_hour,2025-Q1
ST00095,TR00095,RT004,VH005,2025-01-08 09:15:00,2025-01-08 10:56:00,regular,2024-Q4
ST00096,TR00096,RT005,VH014,2025-01-08 06:00:00,2025-01-08 07:15:00,regular,2024-Q4
ST00097,TR00097,RT005,VH014,2025-01-08 14:00:00,2025-01-08 15:15:00,regular,2024-Q4
ST00098,TR00098,RT006,VH016,2025-01-08 06:00:00,2025-01-08 07:45:00,regular,2024-Q4
ST00099,TR00099,RT007,VH012,2025-01-08 08:45:00,2025-01-08 09:47:00,regular,2025-Q2
ST00100,TR00100,RT008,VH017,2025-01-08 08:45:00,2025-01-08 09:38:00,regular,2024-Q4
ST00101,TR00101,RT009,VH017,2025-01-08 06:00:00,2025-01-08 07:53:00,peak_hour,2025-Q1
ST00102,TR00102,RT009,VH001,2025-01-08 16:45:00,2025-01-08 18:38:00,regular,2024-Q4
ST00103,TR00103,RT010,VH015,2025-01-08 10:00:00,2025-01-08 10:39:00,regular,2025-Q1
ST00104,TR00104,RT001,VH016,2025-01-09 08:00:00,2025-01-09 09:14:00,regular,2024-Q4
ST00105,TR00105,RT002,VH007,2025-01-09 08:45:00,2025-01-09 09:56:00,express,2025-Q2
ST00106,TR00106,RT003,VH007,2025-01-09 06:00:00,2025-01-09 08:23:00,regular,2024-Q4
ST00107,TR00107,RT004,VH008,2025-01-09 09:15:00,2025-01-09 10:56:00,express,2025-Q1
ST00108,TR00108,RT005,VH013,2025-01-09 06:00:00,2025-01-09 07:15:00,regular,2024-Q4
ST00109,TR00109,RT005,VH018,2025-01-09 14:30:00,2025-01-09 15:45:00,express,2025-Q1
ST00110,TR00110,RT006,VH008,2025-01-09 10:00:00,2025-01-09 11:45:00,regular,2025-Q1
ST00111,TR00111,RT007,VH011,2025-01-09 08:30:00,2025-01-09 09:32:00,peak_hour,2024-Q4
ST00112,TR00112,RT008,VH005,2025-01-09 08:45:00,2025-01-09 09:38:00,express,2025-Q2
ST00113,TR00113,RT009,VH002,2025-01-09 06:00:00,2025-01-09 07:53:00,regular,2025-Q1
ST00114,TR00114,RT009,VH004,2025-01-09 16:45:00,2025-01-09 18:38:00,express,2024-Q4
ST00115,TR00115,RT010,VH012,2025-01-09 10:00:00,2025-01-09 10:39:00,regular,2024-Q4
ST00116,TR00116,RT001,VH009,2025-01-10 08:00:00,2025-01-10 09:14:00,regular,2024-Q4
ST00117,TR00117,RT002,VH005,2025-01-10 08:45:00,2025-01-10 09:56:00,regular,2025-Q1
ST00118,TR00118,RT003,VH017,2025-01-10 10:00:00,2025-01-10 12:23:00,regular,2024-Q4
ST00119,TR00119,RT004,VH017,2025-01-10 09:15:00,2025-01-10 10:56:00,regular,2025-Q2
ST00120,TR00120,RT005,VH013,2025-01-10 06:00:00,2025-01-10 07:15:00,regular,2025-Q2
ST00121,TR00121,RT006,VH001,2025-01-10 10:00:00,2025-01-10 11:45:00,peak_hour,2024-Q4
ST00122,TR00122,RT007,VH013,2025-01-10 08:45:00,2025-01-10 09:47:00,peak_hour,2024-Q4
ST00123,TR00123,RT008,VH008,2025-01-10 08:45:00,2025-01-10 09:38:00,regular,2025-Q1
ST00124,TR00124,RT009,VH016,2025-01-10 08:15:00,2025-01-10 10:08:00,regular,2025-Q1
ST00125,TR00125,RT010,VH012,2025-01-10 10:00:00,2025-01-10 10:39:00,peak_hour,2024-Q4
ST00126,TR00126,RT001,VH008,2025-01-11 08:00:00,2025-01-11 09:14:00,regular,2025-Q1
ST00127,TR00127,RT002,VH017,2025-01-11 08:45:00,2025-01-11 09:56:00,regular,2025-Q1
ST00128,TR00128,RT003,VH004,2025-01-11 06:00:00,2025-01-11 08:23:00,regular,2025-Q2
ST00129,TR00129,RT004,VH010,2025-01-11 09:15:00,2025-01-11 10:56:00,peak_hour,2025-Q2
ST00130,TR00130,RT005,VH014,2025-01-11 08:15:00,2025-01-11 09:30:00,express,2025-Q1
ST00131,TR00131,RT006,VH016,2025-01-11 10:00:00,2025-01-11 11:45:00,regular,2025-Q1
ST00132,TR00132,RT007,VH012,2025-01-11 08:15:00,2025-01-11 09:17:00,regular,2024-Q4
ST00133,TR00133,RT008,VH010,2025-01-11 06:00:00,2025-01-11 06:53:00,regular,2025-Q2
ST00134,TR00134,RT008,VH017,2025-01-11 14:00:00,2025-01-11 14:53:00,regular,2025-Q1
ST00135,TR00135,RT009,VH002,2025-01-11 08:45:00,2025-01-11 10:38:00,regular,2025-Q2
ST00136,TR00136,RT010,VH012,2025-01-11 06:00:00,2025-01-11 06:39:00,regular,2025-Q2
ST00137,TR00137,RT001,VH003,2025-01-12 06:00:00,2025-01-12 07:14:00,regular,2025-Q2
ST00138,TR00138,RT001,VH010,2025-01-12 14:00:00,2025-01-12 15:14:00,regular,2024-Q4
ST00139,TR00139,RT002,VH006,2025-01-12 08:45:00,2025-01-12 09:56:00,regular,2024-Q4
ST00140,TR00140,RT003,VH016,2025-01-12 06:00:00,2025-01-12 08:23:00,express,2024-Q4
ST00141,TR00141,RT004,VH002,2025-01-12 09:15:00,2025-01-12 10:56:00,regular,2025-Q2
ST00142,TR00142,RT005,VH015,2025-01-12 06:00:00,2025-01-12 07:15:00,regular,2025-Q2
ST00143,TR00143,RT006,VH008,2025-01-12 06:00:00,2025-01-12 07:45:00,regular,2024-Q4
ST00144,TR00144,RT007,VH013,2025-01-12 08:45:00,2025-01-12 09:47:00,regular,2025-Q2
ST00145,TR00145,RT008,VH004,2025-01-12 08:45:00,2025-01-12 09:38:00,regular,2025-Q1
ST00146,TR00146,RT009,VH004,2025-01-12 06:00:00,2025-01-12 07:53:00,peak_hour,2024-Q4
ST00147,TR00147,RT010,VH012,2025-01-12 10:00:00,2025-01-12 10:39:00,express,2025-Q1
ST00148,TR00148,RT001,VH008,2025-01-13 08:00:00,2025-01-13 09:14:00,regular,2025-Q1
ST00149,TR00149,RT002,VH010,2025-01-13 08:45:00,2025-01-13 09:56:00,regular,2025-Q2
ST00150,TR00150,RT003,VH007,2025-01-13 06:00:00,2025-01-13 08:23:00,regular,2025-Q1
ST00151,TR00151,RT003,VH005,2025-01-13 14:00:00,2025-01-13 16:23:00,peak_hour,2024-Q4
ST00152,TR00152,RT004,VH006,2025-01-13 09:15:00,2025-01-13 10:56:00,regular,2025-Q2
ST00153,TR00153,RT005,VH018,2025-01-13 06:00:00,2025-01-13 07:15:00,peak_hour,2024-Q4
ST00154,TR00154,RT005,VH014,2025-01-13 16:45:00,2025-01-13 18:00:00,regular,2024-Q4
ST00155,TR00155,RT006,VH016,2025-01-13 10:00:00,2025-01-13 11:45:00,regular,2024-Q4
ST00156,TR00156,RT007,VH013,2025-01-13 06:00:00,2025-01-13 07:02:00,peak_hour,2024-Q4
ST00157,TR00157,RT007,VH014,2025-01-13 14:15:00,2025-01-13 15:17:00,peak_hour,2025-Q1
ST00158,TR00158,RT008,VH002,2025-01-13 06:00:00,2025-01-13 06:53:00,regular,2025-Q1
ST00159,TR00159,RT008,VH007,2025-01-13 14:00:00,2025-01-13 14:53:00,peak_hour,2025-Q2
ST00160,TR00160,RT009,VH017,2025-01-13 08:45:00,2025-01-13 10:38:00,regular,2025-Q2
ST00161,TR00161,RT010,VH018,2025-01-13 10:00:00,2025-01-13 10:39:00,regular,2025-Q2
ST00162,TR00162,RT001,VH002,2025-01-14 08:00:00,2025-01-14 09:14:00,peak_hour,2025-Q1
ST00163,TR00163,RT002,VH001,2025-01-14 08:45:00,2025-01-14 09:56:00,peak_hour,2024-Q4
ST00164,TR00164,RT003,VH004,2025-01-14 10:00:00,2025-01-14 12:23:00,peak_hour,2024-Q4
ST00165,TR00165,RT004,VH007,2025-01-14 09:15:00,2025-01-14 10:56:00,regular,2024-Q4
ST00166,TR00166,RT005,VH014,2025-01-14 08:45:00,2025-01-14 10:00:00,express,2024-Q4
ST00167,TR00167,RT006,VH008,2025-01-14 06:00:00,2025-01-14 07:45:00,regular,2025-Q2
ST00168,TR00168,RT006,VH006,2025-01-14 14:00:00,2025-01-14 15:45:00,regular,2025-Q1
ST00169,TR00169,RT007,VH013,2025-01-14 08:45:00,2025-01-14 09:47:00,regular,2025-Q2
ST00170,TR00170,RT008,VH006,2025-01-14 08:45:00,2025-01-14 09:38:00,peak_hour,2025-Q2
ST00171,TR00171,RT009,VH005,2025-01-14 06:00:00,2025-01-14 07:53:00,regular,2024-Q4
ST00172,TR00172,RT010,VH012,2025-01-14 06:00:00,2025-01-14 06:39:00,regular,2025-Q1
ST00173,TR00173,RT010,VH015,2025-01-14 14:00:00,2025-01-14 14:39:00,peak_hour,2024-Q4
ST00174,TR00174,RT001,VH005,2025-01-15 08:00:00,2025-01-15 09:14:00,regular,2024-Q4
ST00175,TR00175,RT002,VH005,2025-01-15 08:45:00,2025-01-15 09:56:00,express,2025-Q1
ST00176,TR00176,RT003,VH006,2025-01-15 06:00:00,2025-01-15 08:23:00,regular,2025-Q1
ST00177,TR00177,RT003,VH008,2025-01-15 14:00:00,2025-01-15 16:23:00,regular,2025-Q1
ST00178,TR00178,RT004,VH002,2025-01-15 09:15:00,2025-01-15 10:56:00,regular,2024-Q4
ST00179,TR00179,RT005,VH013,2025-01-15 06:00:00,2025-01-15 07:15:00,regular,2025-Q2
ST00180,TR00180,RT005,VH011,2025-01-15 14:30:00,2025-01-15 15:45:00,peak_hour,2025-Q2
ST00181,TR00181,RT006,VH006,2025-01-15 10:00:00,2025-01-15 11:45:00,regular,2025-Q1
ST00182,TR00182,RT007,VH015,2025-01-15 06:00:00,2025-01-15 07:02:00,regular,2024-Q4
ST00183,TR00183,RT007,VH014,2025-01-15 14:30:00,2025-01-15 15:32:00,regular,2024-Q4
ST00184,TR00184,RT008,VH001,2025-01-15 08:45:00,2025-01-15 09:38:00,regular,2024-Q4
ST00185,TR00185,RT009,VH003,2025-01-15 06:00:00,2025-01-15 07:53:00,peak_hour,2024-Q4
ST00186,TR00186,RT009,VH017,2025-01-15 16:45:00,2025-01-15 18:38:00,express,2025-Q2
ST00187,TR00187,RT010,VH013,2025-01-15 10:00:00,2025-01-15 10:39:00,regular,2025-Q2
ST00188,TR00188,RT001,VH006,2025-01-16 06:00:00,2025-01-16 07:14:00,peak_hour,2025-Q1
ST00189,TR00189,RT001,VH016,2025-01-16 14:00:00,2025-01-16 15:14:00,peak_hour,2025-Q2
ST00190,TR00190,RT002,VH008,2025-01-16 08:45:00,2025-01-16 09:56:00,regular,2024-Q4
ST00191,TR00191,RT003,VH003,2025-01-16 10:00:00,2025-01-16 12:23:00,peak_hour,2024-Q4
ST00192,TR00192,RT004,VH010,2025-01-16 09:15:00,2025-01-16 10:56:00,peak_hour,2024-Q4
ST00193,TR00193,RT005,VH015,2025-01-16 06:00:00,2025-01-16 07:15:00,regular,2025-Q1
ST00194,TR00194,RT005,VH012,2025-01-16 14:00:00,2025-01-16 15:15:00,express,2025-Q1
ST00195,TR00195,RT006,VH004,2025-01-16 06:00:00,2025-01-16 07:45:00,peak_hour,2025-Q2
ST00196,TR00196,RT006,VH003,2025-01-16 14:00:00,2025-01-16 15:45:00,peak_hour,2025-Q1
ST00197,TR00197,RT007,VH015,2025-01-16 06:00:00,2025-01-16 07:02:00,regular,2025-Q2
ST00198,TR00198,RT007,VH015,2025-01-16 14:30:00,2025-01-16 15:32:00,regular,2024-Q4
ST00199,TR00199,RT008,VH008,2025-01-16 08:45:00,2025-01-16 09:38:00,peak_hour,2024-Q4
ST00200,TR00200,RT009,VH002,2025-01-16 06:00:00,2025-01-16 07:53:00,regular,2025-Q1
ST00201,TR00201,RT009,VH005,2025-01-16 14:30:00,2025-01-16 16:23:00,regular,2024-Q4
ST00202,TR00202,RT010,VH014,2025-01-16 10:00:00,2025-01-16 10:39:00,regular,2025-Q2
ST00203,TR00203,RT001,VH016,2025-01-17 08:00:00,2025-01-17 09:14:00,regular,2025-Q1
ST00204,TR00204,RT002,VH006,2025-01-17 08:45:00,2025-01-17 09:56:00,regular,2024-Q4
ST00205,TR00205,RT003,VH006,2025-01-17 10:00:00,2025-01-17 12:23:00,peak_hour,2025-Q1
ST00206,TR00206,RT004,VH002,2025-01-17 09:15:00,2025-01-17 10:56:00,regular,2025-Q2
ST00207,TR00207,RT005,VH012,2025-01-17 06:00:00,2025-01-17 07:15:00,regular,2025-Q2
ST00208,TR00208,RT005,VH018,2025-01-17 16:45:00,2025-01-17 18:00:00,regular,2024-Q4
ST00209,TR00209,RT006,VH006,2025-01-17 10:00:00,2025-01-17 11:45:00,regular,2025-Q1
ST00210,TR00210,RT007,VH011,2025-01-17 08:30:00,2025-01-17 09:32:00,regular,2025-Q1
ST00211,TR00211,RT008,VH007,2025-01-17 08:45:00,2025-01-17 09:38:00,regular,2025-Q2
ST00212,TR00212,RT009,VH005,2025-01-17 08:30:00,2025-01-17 10:23:00,regular,2025-Q2
ST00213,TR00213,RT010,VH018,2025-01-17 10:00:00,2025-01-17 10:39:00,express,2025-Q1
ST00214,TR00214,RT001,VH007,2025-01-18 08:00:00,2025-01-18 09:14:00,express,2025-Q2
ST00215,TR00215,RT002,VH010,2025-01-18 08:45:00,2025-01-18 09:56:00,regular,2025-Q2
ST00216,TR00216,RT003,VH016,2025-01-18 10:00:00,2025-01-18 12:23:00,regular,2024-Q4
ST00217,TR00217,RT004,VH005,2025-01-18 09:15:00,2025-01-18 10:56:00,express,2024-Q4
ST00218,TR00218,RT005,VH018,2025-01-18 08:30:00,2025-01-18 09:45:00,regular,2025-Q2
ST00219,TR00219,RT006,VH001,2025-01-18 06:00:00,2025-01-18 07:45:00,express,2025-Q2
ST00220,TR00220,RT006,VH005,2025-01-18 14:00:00,2025-01-18 15:45:00,express,2024-Q4
ST00221,TR00221,RT007,VH012,2025-01-18 08:15:00,2025-01-18 09:17:00,regular,2024-Q4
ST00222,TR00222,RT008,VH006,2025-01-18 08:45:00,2025-01-18 09:38:00,peak_hour,2025-Q1
ST00223,TR00223,RT009,VH006,2025-01-18 06:00:00,2025-01-18 07:53:00,express,2025-Q2
ST00224,TR00224,RT009,VH007,2025-01-18 14:30:00,2025-01-18 16:23:00,peak_hour,2025-Q2
ST00225,TR00225,RT010,VH018,2025-01-18 06:00:00,2025-01-18 06:39:00,peak_hour,2025-Q2
ST00226,TR00226,RT001,VH010,2025-01-19 08:00:00,2025-01-19 09:14:00,regular,2025-Q1
ST00227,TR00227,RT002,VH004,2025-01-19 06:00:00,2025-01-19 07:11:00,regular,2025-Q2
ST00228,TR00228,RT002,VH002,2025-01-19 14:00:00,2025-01-19 15:11:00,regular,2024-Q4
ST00229,TR00229,RT003,VH016,2025-01-19 06:00:00,2025-01-19 08:23:00,regular,2025-Q2
ST00230,TR00230,RT003,VH004,2025-01-19 14:00:00,2025-01-19 16:23:00,peak_hour,2025-Q2
ST00231,TR00231,RT004,VH008,2025-01-19 06:00:00,2025-01-19 07:41:00,express,2024-Q4
ST00232,TR00232,RT004,VH010,2025-01-19 15:30:00,2025-01-19 17:11:00,express,2025-Q1
ST00233,TR00233,RT005,VH018,2025-01-19 08:30:00,2025-01-19 09:45:00,regular,2024-Q4
ST00234,TR00234,RT006,VH005,2025-01-19 06:00:00,2025-01-19 07:45:00,regular,2024-Q4
ST00235,TR00235,RT007,VH018,2025-01-19 06:00:00,2025-01-19 07:02:00,regular,2025-Q2
ST00236,TR00236,RT008,VH017,2025-01-19 08:45:00,2025-01-19 09:38:00,express,2025-Q1
ST00237,TR00237,RT009,VH008,2025-01-19 06:00:00,2025-01-19 07:53:00,regular,2025-Q1
ST00238,TR00238,RT010,VH013,2025-01-19 06:00:00,2025-01-19 06:39:00,express,2025-Q2
ST00239,TR00239,RT010,VH011,2025-01-19 14:00:00,2025-01-19 14:39:00,regular,2025-Q2
ST00240,TR00240,RT001,VH006,2025-01-20 08:00:00,2025-01-20 09:14:00,regular,2024-Q4
ST00241,TR00241,RT002,VH010,2025-01-20 08:45:00,2025-01-20 09:56:00,regular,2025-Q2
ST00242,TR00242,RT003,VH007,2025-01-20 10:00:00,2025-01-20 12:23:00,express,2025-Q1
ST00243,TR00243,RT004,VH006,2025-01-20 09:15:00,2025-01-20 10:56:00,regular,2024-Q4
ST00244,TR00244,RT005,VH013,2025-01-20 06:00:00,2025-01-20 07:15:00,express,2024-Q4
ST00245,TR00245,RT005,VH018,2025-01-20 14:00:00,2025-01-20 15:15:00,peak_hour,2024-Q4
ST00246,TR00246,RT006,VH005,2025-01-20 10:00:00,2025-01-20 11:45:00,regular,2024-Q4
ST00247,TR00247,RT007,VH012,2025-01-20 08:15:00,2025-01-20 09:17:00,peak_hour,2025-Q2
ST00248,TR00248,RT008,VH009,2025-01-20 06:00:00,2025-01-20 06:53:00,peak_hour,2024-Q4
ST00249,TR00249,RT008,VH010,2025-01-20 14:00:00,2025-01-20 14:53:00,regular,2025-Q2
ST00250,TR00250,RT009,VH010,2025-01-20 06:00:00,2025-01-20 07:53:00,regular,2025-Q2
ST00251,TR00251,RT009,VH006,2025-01-20 14:15:00,2025-01-20 16:08:00,express,2025-Q1
ST00252,TR00252,RT010,VH014,2025-01-20 06:00:00,2025-01-20 06:39:00,regular,2024-Q4
ST00253,TR00253,RT010,VH014,2025-01-20 14:00:00,2025-01-20 14:39:00,express,2024-Q4
ST00254,TR00254,RT001,VH008,2025-01-21 08:00:00,2025-01-21 09:14:00,peak_hour,2024-Q4
