incident_id,trip_id,route_id,delay_category,delay_minutes,impact_level,reported_at,resolved_at,is_cascading,affected_passengers
DI00050,TR00442,RT006,mechanical_issue,15,medium,2024-01-10 09:56:00,2024-01-10 10:20:00,false,23
DI00051,TR00453,RT008,traffic_congestion,8,low,2024-01-10 19:10:00,2024-01-10 19:25:00,false,36
DI00052,TR00459,RT010,traffic_congestion,10,low,2024-01-10 14:05:00,2024-01-10 14:16:00,false,4
DI00053,TR00460,RT010,road_closure,36,high,2024-01-10 18:02:00,2024-01-10 18:40:00,false,2
DI00054,TR00489,RT006,road_closure,29,high,2024-01-11 13:59:00,2024-01-11 14:31:00,false,23
DI00055,TR00494,RT008,passenger_boarding,7,low,2024-01-11 06:04:00,2024-01-11 06:13:00,false,35
DI00056,TR00499,RT008,mechanical_issue,57,critical,2024-01-11 19:16:00,2024-01-11 20:10:00,false,19
DI00057,TR00503,RT010,operational_handover,5,low,2024-01-11 06:02:00,2024-01-11 06:17:00,false,5
DI00058,TR00521,RT003,weather_conditions,21,high,2024-01-12 06:04:00,2024-01-12 07:13:00,false,24
DI00059,TR00523,RT003,passenger_boarding,7,low,2024-01-12 13:57:00,2024-01-12 14:03:00,false,31
DI00060,TR00524,RT003,operational_handover,10,low,2024-01-12 17:58:00,2024-01-12 18:03:00,false,17
DI00061,TR00533,RT006,road_closure,5,low,2024-01-12 05:57:00,2024-01-12 06:17:00,false,19
DI00062,TR00536,RT006,passenger_boarding,12,medium,2024-01-12 18:00:00,2024-01-12 18:04:00,false,23
DI00063,TR00542,RT008,weather_conditions,24,high,2024-01-12 11:20:00,2024-01-12 12:41:00,false,26
DI00064,TR00547,RT009,operational_handover,5,low,2024-01-12 11:15:00,2024-01-12 11:33:00,true,31
DI00065,TR00568,RT003,road_closure,24,high,2024-01-13 10:03:00,2024-01-13 10:28:00,false,23
DI00066,TR00579,RT006,operational_handover,19,medium,2024-01-13 06:04:00,2024-01-13 06:14:00,false,24
DI00067,TR00581,RT006,road_closure,13,medium,2024-01-13 14:05:00,2024-01-13 14:51:00,false,26
DI00068,TR00600,RT001,traffic_congestion,5,low,2024-01-14 07:55:00,2024-01-14 08:12:00,false,25
DI00069,TR00601,RT001,traffic_congestion,20,medium,2024-01-14 10:02:00,2024-01-14 10:14:00,false,22
DI00070,TR00612,RT002,passenger_boarding,9,low,2024-01-14 19:15:00,2024-01-14 19:25:00,false,22
DI00071,TR00620,RT004,traffic_congestion,15,medium,2024-01-14 15:27:00,2024-01-14 15:50:00,false,25
DI00072,TR00623,RT005,operational_handover,11,medium,2024-01-14 11:18:00,2024-01-14 11:25:00,false,3
DI00073,TR00626,RT006,weather_conditions,5,low,2024-01-14 10:04:00,2024-01-14 11:51:00,false,25
DI00074,TR00634,RT008,traffic_congestion,13,medium,2024-01-14 11:14:00,2024-01-14 11:36:00,true,20
DI00075,TR00637,RT008,mechanical_issue,28,high,2024-01-14 19:17:00,2024-01-14 20:00:00,false,27
DI00076,TR00662,RT003,mechanical_issue,54,critical,2024-01-15 17:58:00,2024-01-15 19:10:00,false,27
DI00077,TR00666,RT004,road_closure,16,medium,2024-01-15 15:34:00,2024-01-15 16:21:00,false,16
DI00078,TR00685,RT009,traffic_congestion,17,medium,2024-01-15 11:19:00,2024-01-15 11:32:00,false,24
DI00079,TR00694,RT001,operational_handover,5,low,2024-01-16 12:05:00,2024-01-16 12:12:00,false,20
DI00080,TR00702,RT002,security_check,11,medium,2024-01-16 14:01:00,2024-01-16 14:15:00,false,24
DI00081,TR00704,RT002,weather_conditions,24,high,2024-01-16 19:14:00,2024-01-16 20:40:00,false,28
DI00082,TR00705,RT003,weather_conditions,5,low,2024-01-16 05:59:00,2024-01-16 06:49:00,false,27
DI00083,TR00712,RT004,weather_conditions,42,critical,2024-01-16 15:34:00,2024-01-16 16:35:00,false,15
DI00084,TR00713,RT004,weather_conditions,5,low,2024-01-16 18:48:00,2024-01-16 20:02:00,false,17
DI00085,TR00717,RT006,weather_conditions,21,high,2024-01-16 06:04:00,2024-01-16 06:57:00,false,26
DI00086,TR00718,RT006,traffic_congestion,9,low,2024-01-16 09:59:00,2024-01-16 10:19:00,true,20
DI00087,TR00726,RT008,operational_handover,13,medium,2024-01-16 11:15:00,2024-01-16 11:32:00,false,21
DI00088,TR00731,RT009,road_closure,32,high,2024-01-16 11:20:00,2024-01-16 11:37:00,true,23
DI00089,TR00741,RT001,road_closure,21,high,2024-01-17 13:55:00,2024-01-17 14:42:00,false,25
DI00090,TR00753,RT003,traffic_congestion,6,low,2024-01-17 14:01:00,2024-01-17 14:13:00,false,33
DI00091,TR00755,RT004,traffic_congestion,7,low,2024-01-17 06:00:00,2024-01-17 06:19:00,false,17
DI00092,TR00770,RT008,passenger_boarding,11,medium,2024-01-17 06:05:00,2024-01-17 06:15:00,true,15
DI00093,TR00775,RT008,road_closure,5,low,2024-01-17 19:15:00,2024-01-17 20:14:00,false,29
DI00094,TR00777,RT009,passenger_boarding,16,medium,2024-01-17 11:16:00,2024-01-17 11:23:00,true,23
DI00095,TR00789,RT001,traffic_congestion,7,low,2024-01-18 17:58:00,2024-01-18 18:19:00,false,24
DI00096,TR00793,RT002,traffic_congestion,6,low,2024-01-18 11:19:00,2024-01-18 11:33:00,false,19
DI00097,TR00804,RT004,mechanical_issue,44,critical,2024-01-18 15:33:00,2024-01-18 16:50:00,false,23
DI00098,TR00805,RT004,mechanical_issue,52,critical,2024-01-18 18:43:00,2024-01-18 19:55:00,true,30
DI00099,TR00813,RT007,traffic_congestion,7,low,2024-01-18 06:01:00,2024-01-18 06:17:00,false,8
DI00100,TR00818,RT008,traffic_congestion,7,low,2024-01-18 11:11:00,2024-01-18 11:24:00,false,24
DI00101,TR00825,RT010,traffic_congestion,5,low,2024-01-18 06:05:00,2024-01-18 06:31:00,false,3
DI00102,TR00850,RT004,operational_handover,5,low,2024-01-19 15:32:00,2024-01-19 15:43:00,false,28
DI00103,TR00856,RT006,weather_conditions,5,low,2024-01-19 09:55:00,2024-01-19 10:46:00,false,18
DI00104,TR00868,RT009,weather_conditions,34,high,2024-01-19 05:59:00,2024-01-19 06:56:00,false,23
DI00105,TR00869,RT009,security_check,18,medium,2024-01-19 11:18:00,2024-01-19 11:31:00,false,33
DI00106,TR00883,RT002,traffic_congestion,25,high,2024-01-20 06:03:00,2024-01-20 06:30:00,false,21
DI00107,TR00886,RT002,road_closure,48,critical,2024-01-20 13:58:00,2024-01-20 14:44:00,false,35
DI00108,TR00896,RT004,weather_conditions,13,medium,2024-01-20 15:35:00,2024-01-20 16:34:00,false,19
DI00109,TR00897,RT004,weather_conditions,41,critical,2024-01-20 18:49:00,2024-01-20 20:02:00,true,25
DI00110,TR00899,RT005,traffic_congestion,5,low,2024-01-20 11:15:00,2024-01-20 11:44:00,false,7
DI00111,TR00903,RT006,traffic_congestion,11,medium,2024-01-20 14:00:00,2024-01-20 14:14:00,false,31
DI00112,TR00915,RT009,traffic_congestion,5,low,2024-01-20 11:17:00,2024-01-20 11:34:00,false,28
DI00113,TR00935,RT003,operational_handover,7,low,2024-01-21 06:03:00,2024-01-21 06:19:00,false,19
DI00114,TR00942,RT004,traffic_congestion,14,medium,2024-01-21 15:32:00,2024-01-21 15:42:00,false,20
DI00115,TR00950,RT006,weather_conditions,45,critical,2024-01-21 17:56:00,2024-01-21 19:18:00,false,18
DI00116,TR00960,RT009,passenger_boarding,11,medium,2024-01-21 06:04:00,2024-01-21 06:09:00,false,28
DI00117,TR00980,RT002,operational_handover,13,medium,2024-01-22 19:18:00,2024-01-22 19:35:00,false,20
DI00118,TR00989,RT004,weather_conditions,5,low,2024-01-22 18:49:00,2024-01-22 20:02:00,false,21
DI00119,TR01007,RT009,passenger_boarding,6,low,2024-01-22 11:11:00,2024-01-22 11:14:00,false,25
DI00120,TR01014,RT001,mechanical_issue,5,low,2024-01-23 08:03:00,2024-01-23 08:36:00,false,20
DI00121,TR01023,RT002,road_closure,36,high,2024-01-23 11:19:00,2024-01-23 11:44:00,false,28
DI00122,TR01028,RT003,weather_conditions,36,high,2024-01-23 09:58:00,2024-01-23 11:24:00,false,24
DI00123,TR01051,RT008,road_closure,16,medium,2024-01-23 19:17:00,2024-01-23 19:57:00,false,37
DI00124,TR01052,RT009,operational_handover,18,medium,2024-01-23 05:59:00,2024-01-23 06:19:00,true,17
DI00125,TR01069,RT002,traffic_congestion,5,low,2024-01-24 11:15:00,2024-01-24 11:35:00,false,17
DI00126,TR01080,RT004,weather_conditions,8,low,2024-01-24 15:27:00,2024-01-24 16:12:00,false,26
DI00127,TR01099,RT009,traffic_congestion,10,low,2024-01-24 11:11:00,2024-01-24 11:37:00,false,25
DI00128,TR01119,RT003,traffic_congestion,21,high,2024-01-25 05:59:00,2024-01-25 06:27:00,false,28
DI00129,TR01120,RT003,road_closure,20,medium,2024-01-25 10:03:00,2024-01-25 10:54:00,false,22
DI00130,TR01121,RT003,traffic_congestion,5,low,2024-01-25 14:03:00,2024-01-25 14:16:00,false,21
DI00131,TR01126,RT004,traffic_congestion,19,medium,2024-01-25 15:26:00,2024-01-25 15:40:00,false,15
DI00132,TR01133,RT006,road_closure,22,high,2024-01-25 13:57:00,2024-01-25 14:12:00,false,33
DI00133,TR01168,RT003,weather_conditions,5,low,2024-01-26 18:05:00,2024-01-26 20:02:00,false,18
DI00134,TR01170,RT004,weather_conditions,5,low,2024-01-26 09:14:00,2024-01-26 09:48:00,false,24
DI00135,TR01172,RT004,traffic_congestion,5,low,2024-01-26 15:25:00,2024-01-26 15:52:00,false,24
DI00136,TR01173,RT004,mechanical_issue,5,low,2024-01-26 18:42:00,2024-01-26 19:22:00,true,21
DI00137,TR01179,RT006,traffic_congestion,5,low,2024-01-26 13:56:00,2024-01-26 14:21:00,false,14
DI00138,TR01198,RT001,operational_handover,9,low,2024-01-27 08:02:00,2024-01-27 08:21:00,false,17
DI00139,TR01207,RT002,passenger_boarding,13,medium,2024-01-27 11:18:00,2024-01-27 11:21:00,false,29
DI00140,TR01211,RT003,traffic_congestion,10,low,2024-01-27 05:58:00,2024-01-27 06:22:00,false,18
DI00141,TR01212,RT003,traffic_congestion,5,low,2024-01-27 10:01:00,2024-01-27 10:30:00,false,31
DI00142,TR01213,RT003,passenger_boarding,7,low,2024-01-27 14:02:00,2024-01-27 14:11:00,false,30
DI00143,TR01218,RT004,traffic_congestion,11,medium,2024-01-27 15:35:00,2024-01-27 15:59:00,false,18
DI00144,TR01232,RT008,passenger_boarding,5,low,2024-01-27 11:11:00,2024-01-27 11:15:00,false,23
DI00145,TR01264,RT004,traffic_congestion,5,low,2024-01-28 15:34:00,2024-01-28 15:59:00,false,24
DI00146,TR01281,RT008,traffic_congestion,17,medium,2024-01-28 19:12:00,2024-01-28 19:40:00,false,23
DI00147,TR01282,RT009,traffic_congestion,14,medium,2024-01-28 05:58:00,2024-01-28 06:28:00,false,18
DI00148,TR01283,RT009,mechanical_issue,33,high,2024-01-28 11:10:00,2024-01-28 12:16:00,false,21
DI00149,TR01302,RT002,mechanical_issue,45,critical,2024-01-29 19:20:00,2024-01-29 20:49:00,false,32
DI00150,TR01304,RT003,road_closure,23,high,2024-01-29 10:04:00,2024-01-29 10:29:00,false,29
DI00151,TR01325,RT008,weather_conditions,32,high,2024-01-29 14:05:00,2024-01-29 15:55:00,false,28
DI00152,TR01328,RT009,passenger_boarding,5,low,2024-01-29 05:57:00,2024-01-29 06:01:00,false,27
DI00153,TR01329,RT009,road_closure,42,critical,2024-01-29 11:15:00,2024-01-29 11:55:00,false,24
DI00154,TR01334,RT010,mechanical_issue,54,critical,2024-01-29 18:00:00,2024-01-29 19:07:00,false,3
DI00155,TR01350,RT003,traffic_congestion,28,high,2024-01-30 10:01:00,2024-01-30 10:22:00,false,25
DI00156,TR01351,RT003,traffic_congestion,12,medium,2024-01-30 14:00:00,2024-01-30 14:19:00,false,18
DI00157,TR01361,RT006,weather_conditions,25,high,2024-01-30 05:55:00,2024-01-30 07:48:00,false,27
DI00158,TR01364,RT006,traffic_congestion,5,low,2024-01-30 17:59:00,2024-01-30 18:26:00,false,27
DI00159,TR01366,RT007,passenger_boarding,11,medium,2024-01-30 11:12:00,2024-01-30 11:17:00,false,5
DI00160,TR01375,RT009,operational_handover,5,low,2024-01-30 11:11:00,2024-01-30 11:22:00,false,35
DI00161,TR01382,RT001,operational_handover,9,low,2024-01-31 08:01:00,2024-01-31 08:06:00,false,28
DI00162,TR01394,RT002,operational_handover,11,medium,2024-01-31 19:16:00,2024-01-31 19:23:00,false,35
DI00163,TR01395,RT003,traffic_congestion,19,medium,2024-01-31 05:58:00,2024-01-31 06:09:00,false,21
DI00164,TR01402,RT004,security_check,5,low,2024-01-31 15:29:00,2024-01-31 15:41:00,false,26
DI00165,TR01407,RT006,mechanical_issue,27,high,2024-01-31 06:03:00,2024-01-31 06:43:00,true,28
DI00166,TR01408,RT006,weather_conditions,38,high,2024-01-31 09:55:00,2024-01-31 11:13:00,false,24
DI00167,TR01409,RT006,mechanical_issue,20,medium,2024-01-31 13:59:00,2024-01-31 15:01:00,false,28
DI00168,TR01414,RT008,security_check,8,low,2024-01-31 05:57:00,2024-01-31 06:14:00,false,35
DI00169,TR01428,RT001,traffic_congestion,10,low,2024-02-01 08:02:00,2024-02-01 08:18:00,false,25
DI00170,TR01429,RT001,traffic_congestion,10,low,2024-02-01 09:58:00,2024-02-01 10:08:00,true,22
DI00171,TR01438,RT002,weather_conditions,23,high,2024-02-01 13:58:00,2024-02-01 15:23:00,false,33
DI00172,TR01442,RT003,passenger_boarding,6,low,2024-02-01 10:00:00,2024-02-01 10:07:00,false,30
DI00173,TR01443,RT003,operational_handover,15,medium,2024-02-01 13:57:00,2024-02-01 14:07:00,false,23
DI00174,TR01444,RT003,passenger_boarding,14,medium,2024-02-01 17:57:00,2024-02-01 18:02:00,false,31
DI00175,TR01458,RT007,weather_conditions,19,medium,2024-02-01 11:10:00,2024-02-01 12:33:00,false,4
DI00176,TR01465,RT008,passenger_boarding,7,low,2024-02-01 19:13:00,2024-02-01 19:19:00,false,27
DI00177,TR01474,RT001,traffic_congestion,12,medium,2024-02-02 07:59:00,2024-02-02 08:28:00,false,21
DI00178,TR01481,RT002,road_closure,11,medium,2024-02-02 05:57:00,2024-02-02 06:25:00,false,28
DI00179,TR01488,RT003,mechanical_issue,56,critical,2024-02-02 10:05:00,2024-02-02 10:57:00,false,26
DI00180,TR01489,RT003,traffic_congestion,33,high,2024-02-02 13:59:00,2024-02-02 14:29:00,false,20
DI00181,TR01509,RT008,passenger_boarding,8,low,2024-02-02 14:04:00,2024-02-02 14:14:00,false,21
DI00182,TR01511,RT008,traffic_congestion,8,low,2024-02-02 19:17:00,2024-02-02 19:35:00,false,14
DI00183,TR01522,RT001,traffic_congestion,11,medium,2024-02-03 11:58:00,2024-02-03 12:24:00,false,20
DI00184,TR01533,RT003,road_closure,37,high,2024-02-03 06:02:00,2024-02-03 06:20:00,false,15
DI00185,TR01537,RT004,traffic_congestion,5,low,2024-02-03 06:03:00,2024-02-03 06:19:00,true,24
DI00186,TR01540,RT004,mechanical_issue,26,high,2024-02-03 15:31:00,2024-02-03 16:30:00,false,27
DI00187,TR01543,RT005,weather_conditions,22,high,2024-02-03 11:18:00,2024-02-03 12:35:00,false,5
DI00188,TR01547,RT006,passenger_boarding,5,low,2024-02-03 13:57:00,2024-02-03 14:07:00,false,35
DI00189,TR01562,RT010,weather_conditions,5,low,2024-02-03 10:04:00,2024-02-03 11:52:00,false,4
DI00190,TR01575,RT002,passenger_boarding,7,low,2024-02-04 11:13:00,2024-02-04 11:21:00,false,29
DI00191,TR01582,RT003,operational_handover,13,medium,2024-02-04 17:58:00,2024-02-04 18:13:00,false,28
DI00192,TR01586,RT004,passenger_boarding,8,low,2024-02-04 15:34:00,2024-02-04 15:37:00,false,15
DI00193,TR01587,RT004,operational_handover,5,low,2024-02-04 18:50:00,2024-02-04 19:07:00,true,17
DI00194,TR01601,RT008,mechanical_issue,60,critical,2024-02-04 14:05:00,2024-02-04 14:37:00,false,38
DI00195,TR01621,RT002,operational_handover,17,medium,2024-02-05 11:19:00,2024-02-05 11:38:00,false,22
DI00196,TR01626,RT003,weather_conditions,5,low,2024-02-05 09:56:00,2024-02-05 11:25:00,false,23
DI00197,TR01627,RT003,traffic_congestion,17,medium,2024-02-05 14:02:00,2024-02-05 14:29:00,false,31
DI00198,TR01630,RT004,passenger_boarding,5,low,2024-02-05 09:20:00,2024-02-05 09:24:00,true,28
DI00199,TR01632,RT004,passenger_boarding,8,low,2024-02-05 15:35:00,2024-02-05 15:42:00,true,25
DI00200,TR01650,RT009,traffic_congestion,9,low,2024-02-05 06:00:00,2024-02-05 06:18:00,false,31
DI00201,TR01663,RT001,operational_handover,5,low,2024-02-06 17:55:00,2024-02-06 18:08:00,false,22
DI00202,TR01664,RT001,passenger_boarding,9,low,2024-02-06 19:56:00,2024-02-06 20:05:00,false,21
DI00203,TR01674,RT003,weather_conditions,24,high,2024-02-06 17:59:00,2024-02-06 19:31:00,false,17
DI00204,TR01679,RT004,road_closure,24,high,2024-02-06 18:43:00,2024-02-06 19:05:00,false,30
DI00205,TR01685,RT006,operational_handover,8,low,2024-02-06 14:00:00,2024-02-06 14:20:00,false,16
DI00206,TR01686,RT006,mechanical_issue,49,critical,2024-02-06 18:03:00,2024-02-06 18:30:00,false,22
DI00207,TR01690,RT008,passenger_boarding,5,low,2024-02-06 05:55:00,2024-02-06 06:00:00,true,19
DI00208,TR01692,RT008,traffic_congestion,14,medium,2024-02-06 11:17:00,2024-02-06 11:30:00,false,20
DI00209,TR01695,RT008,traffic_congestion,21,high,2024-02-06 19:16:00,2024-02-06 19:40:00,true,25
DI00210,TR01701,RT010,passenger_boarding,10,low,2024-02-06 14:02:00,2024-02-06 14:09:00,false,4
DI00211,TR01711,RT002,weather_conditions,28,high,2024-02-07 06:01:00,2024-02-07 06:35:00,false,27
DI00212,TR01719,RT003,mechanical_issue,30,high,2024-02-07 14:00:00,2024-02-07 14:59:00,false,20
DI00213,TR01720,RT003,operational_handover,5,low,2024-02-07 18:01:00,2024-02-07 18:19:00,false,22
DI00214,TR01724,RT004,traffic_congestion,23,high,2024-02-07 15:25:00,2024-02-07 15:46:00,true,21
DI00215,TR01730,RT006,traffic_congestion,21,high,2024-02-07 09:59:00,2024-02-07 10:10:00,false,24
DI00216,TR01732,RT006,traffic_congestion,22,high,2024-02-07 18:04:00,2024-02-07 18:34:00,false,30
DI00217,TR01743,RT009,traffic_congestion,8,low,2024-02-07 11:13:00,2024-02-07 11:39:00,true,22
DI00218,TR01759,RT002,traffic_congestion,5,low,2024-02-08 11:15:00,2024-02-08 11:32:00,false,24
DI00219,TR01763,RT003,traffic_congestion,23,high,2024-02-08 06:04:00,2024-02-08 06:25:00,true,32
DI00220,TR01770,RT004,weather_conditions,31,high,2024-02-08 15:35:00,2024-02-08 16:39:00,false,30
DI00221,TR01771,RT004,operational_handover,20,medium,2024-02-08 18:46:00,2024-02-08 19:03:00,true,31
DI00222,TR01775,RT006,weather_conditions,16,medium,2024-02-08 05:56:00,2024-02-08 07:15:00,false,27
DI00223,TR01778,RT006,passenger_boarding,5,low,2024-02-08 17:58:00,2024-02-08 18:08:00,false,33
DI00224,TR01782,RT008,security_check,7,low,2024-02-08 06:05:00,2024-02-08 06:15:00,false,29
DI00225,TR01788,RT009,security_check,10,low,2024-02-08 05:56:00,2024-02-08 06:18:00,false,31
DI00226,TR01789,RT009,road_closure,28,high,2024-02-08 11:17:00,2024-02-08 11:40:00,false,23
DI00227,TR01791,RT010,passenger_boarding,17,medium,2024-02-08 05:56:00,2024-02-08 06:00:00,false,5
DI00228,TR01806,RT002,operational_handover,18,medium,2024-02-09 13:57:00,2024-02-09 14:16:00,false,26
DI00229,TR01809,RT003,mechanical_issue,5,low,2024-02-09 06:00:00,2024-02-09 06:21:00,false,26
DI00230,TR01834,RT009,traffic_congestion,13,medium,2024-02-09 06:00:00,2024-02-09 06:19:00,false,19
DI00231,TR01848,RT001,security_check,5,low,2024-02-10 19:56:00,2024-02-10 20:08:00,false,21
DI00232,TR01851,RT002,weather_conditions,16,medium,2024-02-10 11:16:00,2024-02-10 12:39:00,false,22
DI00233,TR01855,RT003,operational_handover,10,low,2024-02-10 06:02:00,2024-02-10 06:19:00,false,23
DI00234,TR01857,RT003,traffic_congestion,7,low,2024-02-10 13:55:00,2024-02-10 14:21:00,false,15
DI00235,TR01863,RT004,traffic_congestion,25,high,2024-02-10 18:46:00,2024-02-10 19:09:00,false,18
DI00236,TR01881,RT009,traffic_congestion,19,medium,2024-02-10 11:14:00,2024-02-10 11:42:00,false,16
DI00237,TR01891,RT001,passenger_boarding,14,medium,2024-02-11 13:59:00,2024-02-11 14:05:00,false,39
DI00238,TR01905,RT004,weather_conditions,7,low,2024-02-11 06:00:00,2024-02-11 06:42:00,false,24
DI00239,TR01908,RT004,traffic_congestion,5,low,2024-02-11 15:33:00,2024-02-11 15:43:00,false,17
DI00240,TR01915,RT006,operational_handover,13,medium,2024-02-11 13:55:00,2024-02-11 14:03:00,false,27
DI00241,TR01916,RT006,traffic_congestion,8,low,2024-02-11 17:57:00,2024-02-11 18:18:00,false,28
DI00242,TR01936,RT001,traffic_congestion,15,medium,2024-02-12 12:00:00,2024-02-12 12:20:00,false,30
DI00243,TR01946,RT002,passenger_boarding,6,low,2024-02-12 19:11:00,2024-02-12 19:14:00,false,25
DI00244,TR01954,RT004,traffic_congestion,5,low,2024-02-12 15:35:00,2024-02-12 15:49:00,false,30
DI00245,TR01973,RT009,weather_conditions,30,high,2024-02-12 11:12:00,2024-02-12 11:54:00,true,17
DI00246,TR01981,RT001,mechanical_issue,5,low,2024-02-13 09:59:00,2024-02-13 10:25:00,false,39
DI00247,TR01992,RT002,traffic_congestion,14,medium,2024-02-13 19:18:00,2024-02-13 19:29:00,false,18
DI00248,TR01996,RT003,traffic_congestion,10,low,2024-02-13 18:04:00,2024-02-13 18:16:00,false,29
DI00249,TR02017,RT008,road_closure,31,high,2024-02-13 19:15:00,2024-02-13 19:46:00,false,39
DI00250,TR02019,RT009,weather_conditions,16,medium,2024-02-13 11:20:00,2024-02-13 12:13:00,false,26
